ID,category,name,price,link,brand,warranty,type,Kích thước quạt (mm),socket_support,led,color,radiator_size,Số vòng quay của bơm (RPM),Số vòng quay của quạt (RPM),Lưu lượng không khí (CFM),noise_dba,weight_kg,Chiều cao (cm),material,tier,warranty_period,sku,status,features,availability,highlights
cooler_175,Cooler,Quạt CPU Deepcool Gammaxx GTE V2 Black,850000,https://phongvu.vn/quat-cpu-deepcool-gammaxx-gte-v2-black-rgb--s210101766,DeepCool,12 tháng,Quạt,1 x 120 mm,"Intel LGA 1151-v2, Intel LGA 1150, Intel LGA 1155, Intel LGA 1366, AMD AM4, AMD AM3, AMD AM3+, AMD AM2, AMD AM2+, AMD FM1",,Đen,,,500~1650 RPM±10%,64.5 CFM,≤27.8 dB(A),0.65 kg,,,,,,,,,
cooler_176,Cooler,Quạt case Xigmatek Galaxy III Royal BR120 (PACK x3 + CONTROLLER) (EN46119),849000,https://phongvu.vn/quat-case-xigmatek-galaxy-iii-royal-br120-pack-x3-controller-en46119--s201200476,Xigmatek,12 tháng,Quạt,3 x 120 mm,,RGB,Đen,,,600 - 1200 RPM,42.68 CFM,< 23.80 dBA,,,,,,,,,,
cooler_177,Cooler,Tản nhiệt nước Corsair H100i RGB PRO XT (CW-9060043-WW),3200000,https://phongvu.vn/tan-nhiet-nuoc-corsair-h100i-rgb-pro-xt-cw-9060043-ww--s201100831,Corsair,24 tháng,Tản nước,2 x 120 mm,"Intel LGA 1200, Intel LGA 1150, Intel LGA 1151-v2, Intel LGA 1155, Intel LGA 1156, Intel LGA 1366, Intel LGA 2011, Intel LGA 2066, AMD AM4, AMD AM3",RGB,Đen,277mm x 120mm x 27mm,,2400 RPM,75 CFM,10 - 37 dBA,,,"Nhôm, Đồng",,,,,,,
cooler_178,Cooler,Tản Nhiệt Nước AIO ASUS ROG STRIX LC 360 ARGB (90RC0071-M0UAY0),7000000,https://phongvu.vn/tan-nhiet-nuoc-aio-asus-rog-strix-lc-360-argb-90rc0071-m0uay0--s201100830,Asus,60 tháng,Tản nước AIO,3 x 120 mm,"Intel LGA 1151-v2, Intel LGA 1151, Intel LGA 2066, Intel LGA 2011, Intel LGA 1366, Intel LGA 2011-3, AMD TR4, AMD AM4",RGB,Đen,,,800 ~ 2500 RPM +/- 10 %,,37.6 dB(A),,,"Nhôm, Đồng",,,,,,,
cooler_179,Cooler,Tản nhiệt nước Corsair H150i ELITE CAPELLIX (CW-9060048-WW),4759000,https://phongvu.vn/tan-nhiet-nuoc-corsair-h150i-elite-capellix-cw-9060048-ww--s201000783,Corsair,60 tháng,Tản nước,3 x 120 mm,"Intel LGA 1151, Intel LGA 1150, Intel LGA 1155, Intel LGA 1156, Intel LGA 2066, Intel LGA 2011, Intel LGA 1366, AMD AM4, AMD AM3, AMD AM2",RGB,Đen,360 mm,,2400 RPM,75 CFM,10 - 37 dBA,2.626,,"Nhôm, Đồng",,,,,,,
cooler_180,Cooler,Tản nhiệt nước  Corsair H115i ELITE CAPELLIX (CW-9060047-WW),4519000,https://phongvu.vn/tan-nhiet-nuoc-corsair-h115i-elite-capellix-cw-9060047-ww--s201000782,Corsair,60 tháng,Tản nước,2 x 140 mm,"Intel LGA 1151, Intel LGA 1150, Intel LGA 1155, Intel LGA 1156, Intel LGA 2066, Intel LGA 2011, Intel LGA 1366, AMD AM4, AMD AM3, AMD AM2",RGB,Đen,280,,2000 RPM,97 CFM,10 - 36 dBA,24.67 kg,,"Nhôm, Đồng",,,,,,,
cooler_181,Cooler,Tản nhiệt nước Corsair H100i ELITE CAPELLIX (CW-9060046-WW),3979000,https://phongvu.vn/tan-nhiet-nuoc-corsair-h100i-elite-capellix-cw-9060046-ww--s201000781,Corsair,60 tháng,Tản nước,2 x 120 mm,"Intel LGA 1151, Intel LGA 1150, Intel LGA 1155, Intel LGA 1156, Intel LGA 2066, Intel LGA 2011, Intel LGA 1366, AMD AM4, AMD AM3, AMD AM2",RGB,Đen,240,,2400 RPM,75 CFM,10 - 37 dBA,2.13,5.6,"Nhôm, Đồng",,,,,,,
cooler_182,Cooler,Quạt CPU ID-COOLING SE-224-XT Trắng,689000,https://phongvu.vn/quat-cpu-id-cooling-se-224-xt-trang--s201000514,ID-Cooling,24 tháng,Tản khí,1 x 120 mm,"Intel LGA 1151, Intel LGA 1150, Intel LGA 1155, Intel LGA 1156, Intel LGA 2066, Intel LGA 2011, AMD AM4, Intel LGA 1200",Đơn sắc,Trắng,,,700 ± 200 ~ 1800 ± 10% RPM (PWM),"76,16CFM","15,2-32,5dB (A)",0.81 g,15.4,Nhôm,,,,,,,
cooler_183,Cooler,Quạt case ID-COOLING ZF-12025 (Xanh),239000,https://phongvu.vn/quat-case-id-cooling-zf-12025-pastel-blue--s201000508,ID-Cooling,24 tháng,Quạt,1 x 120 mm,,,Xanh dương,,,900~2000±10%RPM,55.2CFM,16.3~33.5dB(A),0.15 kg,,,,,,,,,
cooler_184,Cooler,Quạt case ID-COOLING DF-12025-ARGB TRIO Snow (3 Fan),599000,https://phongvu.vn/quat-case-id-cooling-df-12025-argb-trio-snow-3-fan--s201000505,ID-Cooling,24 tháng,Quạt,3 x 120 mm,,RGB,Trắng,,,700~1800±10%RPM,74.5CFM,18~35.2dB(A),0.15 kg,,,,,,,,,
cooler_185,Cooler,Quạt case Xigmatek X20C (RGB CIRCLE),149000,https://phongvu.vn/quat-case-xigmatek-x20c-rgb-circle--s200801056,Xigmatek,6 tháng,Quạt,1 x 120 mm,,RGB,Đen,,,,,,,,Nhựa,,,,,,,
cooler_186,Cooler,Quạt case Cooler Master SickleFlow 120 RED,250000,https://phongvu.vn/quat-case-cooler-master-sickleflow-120-red--s200700559,Cooler Master,12 tháng,Quạt,1 x 120 mm,,Đỏ,Đen,,,650-1800 RPM ± 10%,62 CFM ± 10%,8 - 27 dBA,,,Nhựa,,,,,,,
cooler_187,Cooler,Quạt case Cooler Master SickleFlow 120 BLUE,250000,https://phongvu.vn/quat-case-cooler-master-sickleflow-120-blue--s200700558,Cooler Master,12 tháng,Quạt,1 x 120 mm,,Xanh,Đen,,,650-1800 RPM ± 10%,62 CFM ± 10%,8 - 27 dBA,,,Nhựa,,,,,,,
cooler_188,Cooler,Tản nước AIO Cooler Master MasterLiquid ML360L ARGB V2,2499000,https://phongvu.vn/tan-nuoc-aio-cooler-master-masterliquid-ml360l-argb-v2--s200700557,Cooler Master,12 tháng,Tản nước,3 x 120 mm,"Intel LGA 1151-v2, Intel LGA 1150, Intel LGA 1155, Intel LGA 1156, Intel LGA 2066, AMD AM4, AMD AM3, AMD AM3+, AMD FM1, Intel LGA 1200",RGB,Đen,79.9 x 76 x 47.1 mm,,650-1800 RPM ± 10%,62 CFM (Max),Độ ồn quat: 8 - 27 dBA - Độ ồn bơm: < 15 dBA,,,Nhôm,,,,,,,
cooler_189,Cooler,Tản nước AIO Cooler Master MasterLiquid ML240L ARGB V2,1899000,https://phongvu.vn/tan-nuoc-aio-cooler-master-masterliquid-ml240l-argb-v2--s200700556,Cooler Master,12 tháng,Tản nước AIO,2 x 120 mm,"Intel LGA 1151-v2, Intel LGA 1150, Intel LGA 1155, Intel LGA 1156, Intel LGA 2066, Intel LGA 2011, Intel LGA 2011-3, AMD AM4, AMD FM1, Intel LGA 1200",RGB,Đen,79.9 x 76 x 47.1 mm,,650-1800 RPM ± 10%,62 CFM (Max),Độ ồn quạt: 8 - 27 dBA - Độ ồn của bơm:  < 15 dBA,LHT,,Nhôm,,,,,,,
cooler_190,Cooler,Quạt Case Xigmatek GALAXY III ESSENTIAL BX120 (3 Fan + controller),749000,https://phongvu.vn/quat-case-xigmatek-galaxy-iii-essential-bx120-3-fan-controller--s200700090,Xigmatek,12 tháng,Quạt,3 x 120 mm,,RGB,Đen,,,600~1200RPM,50.4 CFM,23.7 dBA,,,Nhựa,,,,,,,
cooler_191,Cooler,Quạt Case Corsair LL120 White RGB 120mm (3 Fan + Node PRO) CO-9050092-WW,2969000,https://phongvu.vn/quat-case-corsair-ll120-white-rgb-120mm-3-fan-node-pro-co-9050092-ww--s200601327,Corsair,24 tháng,Quạt,3 x 120 mm,,RGB,Trắng,,,,63 CFM,36 dBA,,,Nhựa,,,,,,,
cooler_192,Cooler,Tản nhiệt nước MSI MAG CORELIQUID 360R,4290000,https://phongvu.vn/tan-nhiet-nuoc-msi-mag-coreliquid-360r--s200601279,Msi,36 tháng,Tản nước,3 x 120 mm,"Intel LGA 1150, Intel LGA 1151-v2, Intel LGA 1155, Intel LGA 1156, Intel LGA 1200, Intel LGA 1366, Intel LGA 2011, Intel LGA 2011-3, Intel LGA 2066, AMD AM4",RGB,Trắng,394 x 120 x27mm,4200 RPM,500 ~ 2000 RPM,21.63 ~ 78.73 CFM,14.3 ~ 34.3 dBA,2290 g,,Nhôm,,,,,,,
cooler_193,Cooler,Tản nhiệt nước AIO ASUS ROG STRIX LC 240 RGB (Trắng),4790000,https://phongvu.vn/tan-nhiet-nuoc-aio-asus-rog-strix-lc-240-rgb-trang--s200500781,Asus,60 tháng,Tản nước AIO,2 x 120 mm,"Intel LGA 1151-v2, Intel LGA 1151, Intel LGA 1150, Intel LGA 1155, Intel LGA 1156, Intel LGA 2066, Intel LGA 2011, Intel LGA 1366, Intel LGA 2011-3, AMD TR4",RGB,Trắng,272 x 121 x 27 mm,,800 ~ 2500 RPM +/- 10 %,80.95 CFM / 137.5 m3h,37.6 dB(A),,,"Nhôm, Đồng",,,,,,,
cooler_194,Cooler,Tản nhiệt nước AIO ASUS ROG STRIX LC 360 RGB (Trắng),7490000,https://phongvu.vn/tan-nhiet-nuoc-aio-asus-rog-strix-lc-360-rgb-trang--s200500780,Asus,60 tháng,Tản nước AIO,3 x 120 mm,"Intel LGA 1151-v2, Intel LGA 1151, Intel LGA 1150, Intel LGA 1155, Intel LGA 1156, Intel LGA 2066, Intel LGA 2011, Intel LGA 1366, Intel LGA 2011-3, AMD TR4",RGB,Trắng,394 x 121 x 27 mm,,800 ~ 2500 RPM +/- 10 %,80.95 CFM / 137.5 m3h,37.6 dB(A),,,"Nhôm, Đồng",,,,,,,
cooler_195,Cooler,Quạt CPU ID-COOLING SE-224-XT ARGB,699000,https://phongvu.vn/quat-cpu-idcooling-se224xt-argb--s200400710,ID-Cooling,24 tháng,Tản khí,1 x 120 mm,"Intel LGA 1151, Intel LGA 1150, Intel LGA 1155, Intel LGA 1156, Intel LGA 2066, Intel LGA 2011, AMD AM4",RGB,Đen,,,900±200~2000±10%RPM(PWM)(RGB),56.5CFM,16.2-31.5dB(A),0.83 Kg,154 mm,Nhôm,,,,,,,
cooler_196,Cooler,Quạt CPU Noctua NH-L9I CH.BK (Đen),1430000,https://phongvu.vn/quat-cpu-noctua-nhl9i-chbk-den--s200302069,Noctua,72 tháng,Quạt,1 x 92 mm,"Intel LGA 1151, Intel LGA 1150, Intel LGA 1155, Intel LGA 1156",,Đen,,,2500 RPM,,"23,6 dB(A)",3.80 Kg,37 mm,"Nhôm, Đồng",,,,,,,
cooler_197,Cooler,Quạt CPU Noctua NH-D15 CH.BK,3190000,https://phongvu.vn/quat-cpu-noctua-nhd15-chbk--s200302068,Noctua,72 tháng,Tản khí,1 x 140 mm,"Intel LGA 1151, Intel LGA 1150, Intel LGA 1155, Intel LGA 1156, Intel LGA 2066, Intel LGA 2011, Intel LGA 2011-3, AMD AM4, AMD AM3, AMD AM3+",,Đen,,,1500 RPM,,"24,6 dB(A)",1.32 Kg,165 cm,"Nhôm, Đồng",,,,,,,
cooler_198,Cooler,Quạt CPU Gigabyte Aorus ATC800,2249000,https://phongvu.vn/quat-cpu-gigabyte-aorus-atc800--s200200450,Gigabyte,24 tháng,Tản khí,1 x 120 mm,"Intel LGA 1151, Intel LGA 1150, Intel LGA 1156, Intel LGA 2066, Intel LGA 2011, Intel LGA 1366, AMD AM4, AMD AM3, AMD AM3+, AMD AM2",RGB,Đen,,,6‎00 - 2000 RPM±10%,1‎4.05 - 51.7 CFM,1‎8 ~ 31 dBA,1.01 kg,163 mm,Nhôm,,,,,,,
cooler_199,Cooler,Quạt CPU Noctua NH-U12DX i4,1900000,https://phongvu.vn/quat-cpu-noctua-nh-u12dx-i4--s191100067,Noctua,72 tháng,Tản khí,1 x 120 mm,"Intel LGA 2066, Intel LGA 2011, Intel LGA 2011-3, Intel LGA 1356, Intel LGA 1366",,Nâu,,,1500 RPM,,22.4 dB(A),0.755 kg,158 mm,"Nhôm, Đồng",,,,,,,
cooler_200,Cooler,Quạt CPU Noctua NH-U12A,3290000,https://phongvu.vn/quat-cpu-noctua-nh-u12a--s191100066,Noctua,72 tháng,Tản khí,1 x 120 mm,"Intel LGA 1150, Intel LGA 1151, Intel LGA 1155, Intel LGA 1156, Intel LGA 2011, Intel LGA 2066, AMD AM4, AMD AM3+, AMD AM2+, AMD FM1",,Nâu,,,2000 RPM,,22.6 dB(A),1.22 kg,158 mm,"Đồng, Nhôm",,,,,,,
