ID,category,name,price,link,brand,warranty,type,Kích thước quạt (mm),socket_support,led,color,radiator_size,Số vòng quay của bơm (RPM),Số vòng quay của quạt (RPM),Lưu lượng không khí (CFM),noise_dba,weight_kg,Chiều cao (cm),material,tier,warranty_period,sku,status,features,availability,highlights
cooler_140,Cooler,Bộ tản nhiệt nước NZXT Kraken Z53 RGB - 240mm ( RL-KRZ53-R1 ),6199000,https://phongvu.vn/bo-tan-nhiet-nuoc-nzxt-kraken-z53-rgb-240mm--s220609668,Nzxt,72 tháng,Tản nước,2 x 120 mm,"Intel LGA 1700, Intel LGA 1200, Intel LGA 115X, Intel LGA 1366, Intel LGA 2011, Intel LGA 2011-3, Intel LGA 2066, AMD AM4",ARGB,Đen,123 x 275 x 30mm,"800 - 2,800 ± 300RPM","500 - 1,500 ± 300RPM",17.48 - 52.44 CFM,22 - 33 dBA,2.1kg,,"Nhôm, Đồng",,,,,,,
cooler_141,Cooler,Bộ tản nhiệt nước NZXT Kraken X73 RGB (WHITE) - 360mm ( RL-KRX73-RW ),5590000,https://phongvu.vn/bo-tan-nhiet-nuoc-nzxt-kraken-x73-rgb-white-360mm--s220609667,Nzxt,72 tháng,Tản nước,3 x 120 mm,"Intel LGA 1700, Intel LGA 1200, Intel LGA 115X, Intel LGA 1366, Intel LGA 2011, Intel LGA 2011-3, Intel LGA 2066, AMD AM4",ARGB,Trắng,121 x 394 x 27mm,"800 - 2,800 ± 300RPM","500 - 2,000 ± 300RPM",18.28 - 73.11 CFM,21 - 36 dBA,2.4kg,,"Nhôm, Đồng",,,,,,,
cooler_142,Cooler,Bộ tản nhiệt nước NZXT Kraken X63 RGB (WHITE) - 280mm ( RL-KRX63-RW ),4399000,https://phongvu.vn/bo-tan-nhiet-nuoc-nzxt-kraken-x63-rgb-white-280mm--s220609665,Nzxt,72 tháng,Tản nước,2 x 140 mm,"Intel LGA 1700, Intel LGA 1200, Intel LGA 115X, Intel LGA 1366, Intel LGA 2011, Intel LGA 2011-3, Intel LGA 2066, AMD AM4",ARGB,Đen,143 x 315 x 30mm,"800 - 2,800 ± 300RPM","500 - 1,800 ± 300RPM",27.27 - 98.17 CFM,21 - 38 dBA,2.1kg,,"Nhôm, Đồng",,,,,,,
cooler_143,Cooler,Bộ tản nhiệt nước NZXT Kraken X53 RGB - 240mm ( RL-KRX53-R1 ),3999000,https://phongvu.vn/bo-tan-nhiet-nuoc-nzxt-kraken-x53-rgb-240mm--s220609663,Nzxt,72 tháng,Tản nước AIO,2 x 240 mm,"Intel LGA 2066, Intel LGA 2011, Intel LGA 1366, Intel LGA 2011-3, AMD AM4, Intel LGA 1200, Intel LGA 1700, Intel LGA 115X",RGB,Đen,123 x 275 x 30mm,"800 - 2,800 ± 300RPM","500 - 2,000 ± 300RPM",18.28 - 73.11 CFM,21-36dBA,1.9kg,,"Nhôm, Đồng",,,,,,,
cooler_144,Cooler,Tản nhiệt CPU CM Masterliquid Flux360 (MLY-D36M-A23PZ-R1),4599000,https://phongvu.vn/tan-nhiet-cpu-cm-masterliquid-flux360--s220609497,Cooler Master,60 tháng,Tản nhiệt Laptop,3 x 120 mm,"Intel LGA 1151-v2, Intel LGA 1150, Intel LGA 1155, Intel LGA 1156, Intel LGA 2066, Intel LGA 2011, Intel LGA 2011-3, AMD TR4, AMD AM4, AMD AM3",RGB,Đen,394 x 119.6 x 27.2mm,,0-2300 RPM ± 10%,72.37 CFM,32 dBA,1.98kg,,Nhôm,,,,,,,
cooler_145,Cooler,Tản nhiệt CPU CM Masterliquid Flux240 (MLY-D24M-A23PZ-R1),3949000,https://phongvu.vn/tan-nhiet-cpu-cm-masterliquid-flux240--s220609496,Cooler Master,60 tháng,Tản nhiệt Laptop,2 x 120 mm,"Intel LGA 1151-v2, Intel LGA 1150, Intel LGA 1155, Intel LGA 1156, Intel LGA 2066, Intel LGA 2011, Intel LGA 2011-3, AMD TR4, AMD AM4, AMD AM3",RGB,Đen,277 x 119.6 x 27.2 mm,,0-2300 RPM ± 10%,72.37 CFM,32dBA,1.43 kg,,Nhôm,,,,,,,
cooler_146,Cooler,Tản nhiệt nước Xigmatek LIQUID-KILLER X Artic 240 (EN47963),1949000,https://phongvu.vn/tan-nhiet-nuoc-xigmatek-liquid-killer-x-artic-240-en47963--s220600171,Xigmatek,12 tháng,Tản nước,2 x 120 mm,"Intel LGA 1151-v2, Intel LGA 1150, Intel LGA 1155, Intel LGA 1156, Intel LGA 2066, Intel LGA 2011, Intel LGA 2011-3, Intel LGA 1200, Intel LGA 1700, AMD AM4",ARGB,Trắng,274 x 120 x 27mm,2800 +-10% RPM,1800 RPM +/- 10%,82.2 CFM,<25.3 dBA,1.8 kg,,Nhôm,,,,,,,
cooler_147,Cooler,Tản Nhiệt Nước Id-Cooling Zoomflow 240-Xt Snow,1590000,https://phongvu.vn/tan-nhiet-nuoc-id-cooling-zoomflow-240-xt-snow--s220304002,ID-Cooling,24 tháng,Tản nước,2 x 120 mm,"Intel LGA 1151, Intel LGA 1150, Intel LGA 1155, Intel LGA 1156, Intel LGA 2066, Intel LGA 2011, AMD AM4, Intel LGA 1200, Intel LGA 1700",,Trắng,274 × 120 × 27mm,,Tốc độ bơm: 2100 ± 10% RPM - Tốc độ quạt: 500 ～ 1500 ± 10% RPM,"68,2CFM","13,8 ～ 30,5dB (A)",,,Nhôm,,,,,,,
cooler_148,Cooler,Tản Nhiệt Nước Id-Cooling Pinkflow 240 Diamond Purple,2590000,https://phongvu.vn/tan-nhiet-nuoc-id-cooling-pinkflow-240-diamond-purple--s220304001,ID-Cooling,24 tháng,Tản nước,2 x 120 mm,"Intel LGA 1151, Intel LGA 1150, Intel LGA 1155, Intel LGA 1156, Intel LGA 2066, Intel LGA 2011, AMD AM4, Intel LGA 1200, Intel LGA 1700",Có,Trắng,274×120×27mm,,Tốc độ bơm: 2100 ± 10% RPM -  Tốc độ quạt: 900 ～ 2000 ± 10% RPM,"55,2CFM",25dB (A),,,Nhôm,,,,,,,
cooler_149,Cooler,Quạt case Xigmatek X22F (120mm Fixed RGB) - EN48441,89000,https://phongvu.vn/quat-case-xigmatek-x22f-rgb-en48441--s220103050,Xigmatek,6 tháng,Quạt,1 x 120 mm,,RGB,Đen,,,,,,,,Nhựa,,,,,,,
