ID,category,name,price,link,brand,warranty,type,part_number,color,led,use_case,Dung lượng,Thế hệ,speed,timing,voltage,Mô tả bảo hành,ecc,capacity_gb,speed_mhz
ram_029,RAM,RAM desktop CORSAIR CMG8GX4M1D3600C18 (1 x 8GB) DDR4 3600MHz (CMG8GX4M1D3600C18),2590000,https://phongvu.vn/bo-nho-trong-ram-corsair-ddr4-3600mhz-8gb-1x8gb-dimm-xmp-2-0-vengeance-rgb-rs-rgb-led-1-35v-cmg8gx4m1d3600c18--s240703548,Corsair,36 tháng,DDR4,CMG8GX4M1D3600C18,Đen,RGB,"Gaming, Đồ họa - Kỹ thuật",1 x 8GB,DDR4,3600MHz,15.0,1.35V,,,8,3600.0
ram_030,RAM,RAM desktop TeamGroup Delta RGB (1 x 16GB) DDR4 3200MHz (TF3D416G3200HC16F01),4590000,https://phongvu.vn/bo-nho-trong-ram-teamgroup-delta-black-rgb-16gb-3200-tf3d416g3200hc16f01--s240503713,TeamGroup,60 tháng,DDR4,TF3D416G3200HC16F01,Đen,RGB,Gaming,1 x 16GB,DDR4,3200MHz,16.0,1.4V,,,16,3200.0
ram_031,RAM,RAM laptop ADATA AD5S560016G-S (1 x 16GB) DDR5 5600MHz,6690000,https://phongvu.vn/bo-nho-trong-ram-adata-16gb-so-dimm-ddr5-5600mhz-ad5s560016g-s--s240503712,Adata,60 tháng,DDR5,,Đen,Không LED,Văn phòng,1 x 16GB,DDR5,5600MHz,46.0,1.1V,,,16,5600.0
ram_032,RAM,RAM desktop Adata XPG D35 (1 x 8GB) DDR4 3200MHz (AX4U320016G16A-SBKD35),2490000,https://phongvu.vn/bo-nho-trong-ram-adata-xpg-8gb-ddr4-3200-ax4u32008g16a-sbkd35--s231204421,Adata,60 tháng,DDR4,AX4U320016G16A-SBKD35,Đen,Không LED,"Gaming, Văn phòng, Học sinh - Sinh viên",1 x 8GB,DDR4,3200MHz,16.0,1.35V,,,8,3200.0
ram_033,RAM,RAM desktop Corsair DOMINATOR TITANIUM RGB (2 x 32GB) DDR5 6000MHz (CMP64GX5M2B6000C30W),32990000,https://phongvu.vn/bo-nho-ram-corsair-ddr5-6000mt-s-64gb-2x32gb-dimm-xmp-3-0-dominator-titanium-white-heatspreader-rgb-led-1-4v-cmp64gx5m2b6000c30w--s231004201,Corsair,36 tháng,DDR5,CMP64GX5M2B6000C30W,Trắng,RGB,Gaming,2 x 32GB,DDR5,6000MHz,40.0,1.4V,,,64,6000.0
ram_034,RAM,RAM desktop Corsair DOMINATOR TITANIUM RGB (2 x 16GB) DDR5 6000MHz (CMP32GX5M2B6000C30W),14990000,https://phongvu.vn/bo-nho-ram-corsair-ddr5-6000mt-s-32gb-2x16gb-dimm-xmp-3-0-dominator-titanium-white-heatspreader-rgb-led-1-4v-cmp32gx5m2b6000c30w--s231004197,Corsair,36 tháng,DDR5,CMP32GX5M2B6000C30W,Trắng,RGB,Gaming,2 x 16GB,DDR5,6000MHz,40.0,1.4V,,,32,6000.0
ram_035,RAM,RAM desktop Adata XPG LANCER RGB (1 x 16GB) DDR5 6000MHz (AX5U6000C3016G-CLARWH),6890000,https://phongvu.vn/bo-nho-trong-ram-desktop-adata-xpg-lancer-ddr5-16gb-6000mhz-white-rgb-ax5u6000c3016g-clarwh--s230800423,Adata,60 tháng,DDR5,AX5U6000C3016G-CLARWH,Trắng,RGB,Gaming,1 x 16GB,DDR5,6000MHz,30.0,1.4V,,,16,6000.0
ram_036,RAM,RAM desktop TeamGroup T-Force Delta RGB (1 x 8GB) DDR4 3600MHz (TF4D48G3600HC18J01),2490000,https://phongvu.vn/bo-nho-trong-ram-desktop-team-t-force-delta-white-rgb-1x8gb-ddr4-3600-mhz-tf4d48g3600hc18j01--s230800416,TeamGroup,60 tháng,DDR4,TF4D48G3600HC18J01,Trắng,RGB,Gaming,1 x 8GB,DDR4,3600MHz,18.0,1.35V,,,8,3600.0
ram_037,RAM,RAM laptop Adata (1 x 8GB) DDR5 4800MHz (AD5S48008G-S),3690000,https://phongvu.vn/bo-nho-trong-ram-adata-8gb-ddr5-4800-ad5s48008g-s--s230203680,Adata,60 tháng,DDR5,AD5S48008G-S,Đen,Không LED,"Gaming, Văn phòng",1 x 8GB,DDR5,4800MHz,40.0,1.1V,,,8,4800.0
ram_038,RAM,Ram Desktop ADATA XPG D50 DDR4 16GB (1x16GB) 3200 RGB Grey (AX4U320016G16A-ST50),4590000,https://phongvu.vn/bo-nho-trong-ram-adata-xpg-16gb-ddr4-3200-ax4u320016g16a-st50--s230202050,Adata,60 tháng,DDR4,AX4U320016G16A-ST50,Xám,RGB,Gaming,1 x 16GB,DDR4,3200MHz,16.0,1.35V,,,16,3200.0
