ID,category,name,price,link,brand,warranty,Thương hiệu CPU,use_case,Series,Thế hệ,CPU,Ra mắt,Số nhân xử lý,Số luồng của CPU,base_clock,tdp,Nhiệt độ tối đa,cache,socket,supported_ddr,Đồ hoạ tích hợp,Phiên bản PCI Express,Số cổng PCI Express,tdp_w,cpu_tier
cpu_048,CPU,CPU AMD RYZEN™ 5 3600X (6 Core/12 Threads - 3.8GHz Boost to 4.4 GHz - 32MB Cache - AM4),6449000,https://phongvu.vn/cpu-amd-ryzen-5-3600x-3-8ghz-boost-to-4-4-ghz--s19070062,AMD,36 tháng,AMD,,Ryzen 5,AMD Ryzen thế hệ thứ 3,AMD Ryzen™ 5 3600X,07/07/2019,6,12,- Xung nhịp cơ bản: 3.8GHz - - Xung nhịp tối đa lên tới: 4.4 GHz,95.0,95°C,32MB,AM4,- DDR4 up to 3200 MT/s,,PCIe® 4.0,,95.0,mid
cpu_049,CPU,"Bộ vi xử lý/ CPU Intel Core Ultra 7 270K Plus, 3.7 GHz, 36MB BX80768270K S A4V6",9990000,https://phongvu.vn/cpu-intel-core-ultra-7-270k-plus--s260305656,Intel,36 tháng,Intel,"Gaming, Văn phòng",Ultra 7,Intel Core Ultra series 2,Intel® Core™ Ultra 7-270K Plus,Q1'26,24,24,3.7 GHz - 5.5 GHz,250.0,105°C,40MB,LGA1851,Up To DDR5 7200 MT/s,Intel® Graphics,PCIe® 5.0 & PCIe® 4.0,24.0,250.0,high
cpu_050,CPU,Bộ vi xử lý/ CPU Intel Core i5-14400 TRAY (Không box),7090000,https://phongvu.vn/cpu-intel-core-i5-14400-tray--s260203203,Intel,36 tháng,Intel,"Gaming, Văn phòng, Đồ họa - Kỹ thuật, Doanh nghiệp, Học sinh - Sinh viên",Core i5,Intel Core thế hệ thứ 14,Intel® Core™ i5-14400,,10,16,- Tần số Turbo tối đa 4.7 GHz - - Tốc độ Turbo tối đa của P-core 4.7 GHz - - Tốc độ Turbo tối đa của E-core 3.5 GHz - - Tốc độ cơ bản của P-core 2.5 GHz - - Tốc độ cơ bản của E-core 1.8 GHz,65.0,100°C,20MB,LGA1700,- Hỗ trợ tối đa: 192 GB -DDR5 up to 4800 MT/s - DDR4 up to 3200 MT/s,Intel® UHD Graphics 730,PCIe® 5.0 & PCIe® 4.0,20.0,65.0,mid
cpu_051,CPU,Bộ vi xử lý/ CPU Intel Core i5-14600K TRAY (Không box),7890000,https://phongvu.vn/bo-vi-xu-ly-cpu-intel-core-i5-14600k-tray-khong-box--s260100165?selectPromotionId=2259507,Intel,36 tháng,Intel,Văn phòng,Core i5,Intel Core thế hệ thứ 14,Intel® Core™ i5-14600K,,14,20,- Tần số Turbo tối đa 5.3 GHz - - Tốc độ Turbo tối đa của P-core 5.3 GHz - - Tốc độ Turbo tối đa của E-core 4.0 GHz - - Tốc độ cơ bản của P-core 3.5 GHz - - Tốc độ cơ bản của E-core 2.6 GHz,125.0,100°C,24MB,LGA1700,- Hỗ trợ tối đa: 192 GB - DDR5 up to 5600 MT/s - DDR4 up to 3200 MT/s,Intel® UHD Graphics 770,PCIe® 5.0 & PCIe® 4.0,20.0,125.0,mid
cpu_052,CPU,Bộ vi xử lý/ CPU AMD Ryzen Threadripper PRO 9975WX (32C-64T | Upto 5.4GHz | 160MB | 350W | No iGPU | No Cooler | Socket sTR5),129000000,https://phongvu.vn/bo-vi-xu-ly-cpu-amd-ryzen-threadripper-pro-9975wx-32c-64t-upto-5-4ghz-160mb-350w-no-igpu-no-cooler-socket-str5--s250714657,AMD,36 tháng,AMD,"Văn phòng, Gaming",Ryzen Threadripper,AMD Ryzen thế hệ thứ 9,AMD Ryzen™ Threadripper™ PRO 9975WX,,32,64,4 GHz - 5.4 GHz,350.0,95°C,128MB,sTR5,DDR5,,PCIe® 5.0,148.0,350.0,extreme
cpu_053,CPU,CPU AMD Ryzen 9 9900X3D (12C/24T | Up to 5.5GHz | 140MB | AM5 | Radeon Graphics 2CUs - RDNA 2.0) (100-100001368WOF),18090000,https://phongvu.vn/bo-vi-xu-ly-cpu-amd-ryzen-9-9900x3d-12c-24t-up-to-5-5ghz-140mb-am5-radeon-graphics-2cus-rdna-2-0-100-100001368wof--s250301293,AMD,36 tháng,AMD,Gaming,,,AMD Ryzen™ 9 9900X3D,12/03/2025,12,24,- Xung nhịp cơ bản: 4.4GHz - - Xung nhịp tối đa lên tới: 5.5 GHz,120.0,95°C,128MB,AM5,- DDR5 up to 5600 MT/s,AMD Radeon™ Graphics,PCIe® 5.0,,120.0,extreme
cpu_054,CPU,CPU Intel Core Ultra 7-265K (20 nhân 20 luồng - Turbo Boost to 5.5 GHz - 30MB - LGA 1851),10490000,https://phongvu.vn/cpu-intel-core-ultra-7-265k--s241003865,Intel,36 tháng,Intel,Gaming,Ultra 7,Intel Core Ultra series 2,Intel® Core™ Ultra 7-265K,"Quý 4, 2024",20,20,- Tần số Turbo tối đa 5.5 GHz - - Tốc độ Turbo tối đa của P-core 5.4 GHz - - Tốc độ Turbo tối đa của E-core 4.6 GHz - - Tốc độ cơ bản của P-core 3.9 GHz - - Tốc độ cơ bản của E-core 3.3 GHz,125.0,100°C,30MB,LGA1851,- DDR5 up to 6400 MT/s,Intel® Graphics,PCIe® 5.0 & PCIe® 4.0,24.0,125.0,high
cpu_055,CPU,CPU Intel® Core™ Ultra 7-265KF (20 nhân 20 luồng - Turbo boost to 5.5GHz - 30MB - 1851),9990000,https://phongvu.vn/bo-vi-xu-ly-cpu-intel-core-ultra-7-265kf--s241003868,Intel,36 tháng,Intel,Gaming,Ultra 7,Intel Core Ultra series 2,Intel® Core™ Ultra 7-265KF,"Quý 4, 2024",20,20,- Tần số Turbo tối đa 5.5 GHz - - Tốc độ Turbo tối đa của P-core 5.4 GHz - - Tốc độ Turbo tối đa của E-core 4.6 GHz - - Tốc độ cơ bản của P-core 3.9 GHz - - Tốc độ cơ bản của E-core 3.3 GHz,125.0,105°C,30MB,LGA1851,- DDR5 up to 6400 MT/s,,PCIe® 5.0 & PCIe® 4.0,24.0,125.0,high
cpu_056,CPU,CPU AMD Ryzen 7 9700X (8 nhân 16 luồng - Boost to 5.5 GHz - 32MB - AM5),10090000,https://phongvu.vn/cpu-amd-ryzen-7-9700x-3-8-ghz-boost-to-5-5-ghz--s240803309,AMD,36 tháng,AMD,Gaming,Ryzen 7,AMD Ryzen thế hệ thứ 9,AMD Ryzen™ 7 9700X,08/08/2024,8,16,- Xung nhịp cơ bản: 3.8GHz - - Xung nhịp tối đa lên tới: 5.5 GHz,65.0,95°C,32MB,AM5,- DDR5 up to 5600 MT/s,AMD Radeon™ Graphics,PCIe® 5.0,28.0,65.0,high
cpu_057,CPU,CPU AMD Ryzen 9 9950X (16 nhân 32 luồng - Boost to 5.1 GHz - 64MB - AM5),18490000,https://phongvu.vn/cpu-amd-ryzen-9-9950x-4-3-ghz-boost-to-5-7-ghz--s240803311,AMD,36 tháng,AMD,Gaming,Ryzen 9,AMD Ryzen thế hệ thứ 9,AMD Ryzen™ 9 9950X,15/08/2024,16,32,- Xung nhịp cơ bản: 3.2GHz - - Xung nhịp tối đa lên tới: 5.1 GHz,170.0,95°C,64MB,AM5,- DDR5 up to 5200 MT/s,AMD Radeon™ Graphics,PCIe® 5.0,,170.0,extreme
