ID,category,name,price,link,brand,warranty,Thương hiệu CPU,use_case,Series,Thế hệ,CPU,Ra mắt,Số nhân xử lý,Số luồng của CPU,base_clock,tdp,Nhiệt độ tối đa,cache,socket,supported_ddr,Đồ hoạ tích hợp,Phiên bản PCI Express,Số cổng PCI Express,tdp_w,cpu_tier
cpu_068,CPU,CPU AMD Ryzen Threadripper 7965WX (24 nhân 48 luồng - Boost to 5.3 GHz - 152MB - sTR5),79990000,https://phongvu.vn/cpu-amd-ryzen-threadripper-pro-7965wx-4-2ghz-boost-to-5-3ghz--s231103712,AMD,36 tháng,AMD,"Gaming, Văn phòng, Đồ họa - Kỹ thuật, Doanh nghiệp, Học sinh - Sinh viên",Ryzen Threadripper,AMD Ryzen thế hệ thứ 7,AMD Ryzen™ Threadripper Pro 7965WX,22/11/2023,24,48,- Xung nhịp cơ bản: 4.2GHz - - Xung nhịp tối đa lên tới: 5.3 GHz,350.0,95°C,152MB,sTR5,DDR5,,PCIe® 5.0,128.0,350.0,extreme
cpu_069,CPU,CPU Intel Core i5-14600K (14 nhân 20 luồng - Boost to 5.3 GHz - 24MB - 1700),7990000,https://phongvu.vn/cpu-intel-core-i5-14600k--s231101852,Intel,36 tháng,Intel,Văn phòng,Core i5,Intel Core thế hệ thứ 14,Intel® Core™ i5-14600K,,14,20,- Tần số Turbo tối đa 5.3 GHz - - Tốc độ Turbo tối đa của P-core 5.3 GHz - - Tốc độ Turbo tối đa của E-core 4.0 GHz - - Tốc độ cơ bản của P-core 3.5 GHz - - Tốc độ cơ bản của E-core 2.6 GHz,125.0,100°C,24MB,LGA1700,- Hỗ trợ tối đa: 192 GB - DDR5 up to 5600 MT/s - DDR4 up to 3200 MT/s,Intel® UHD Graphics 770,PCIe® 5.0 & PCIe® 4.0,20.0,125.0,mid
cpu_070,CPU,CPU Intel Core i5-13500 (14 nhân 20 luồng - Boost tối đa 4.8 GHz - 24MB - 1700),7290000,https://phongvu.vn/cpu-intel-core-i5-13500-14-nhan-20-luong-boost-toi-da-4-8-ghz-24mb-1700--s231003449,Intel,36 tháng,Intel,Văn phòng,Core i5,Intel Core thế hệ thứ 13,Intel® Core™ i5-13500,"Quý 1, 2023",14,20,- Tần số Turbo tối đa 4.8 GHz - - Tốc độ Turbo tối đa của P-core 4.8 GHz - - Tốc độ Turbo tối đa của E-core 3.5 GHz - - Tốc độ cơ bản của P-core 2.5 GHz - - Tốc độ cơ bản của E-core 1.8 GHz,65.0,100°C,24MB,LGA1700,- DDR5 up to 4800 MT/s - DDR4 up to 3200 MT/s,Intel® UHD Graphics 770,PCIe® 5.0 & PCIe® 4.0,20.0,65.0,mid
cpu_071,CPU,CPU Intel Core i7-14700K (20 nhân 28 luồng - Boost to 5.6 GHz - 33MB - 1700),12490000,https://phongvu.vn/cpu-intel-core-i7-14700k--s231002130,Intel,36 tháng,Intel,Văn phòng,Core i7,Intel Core thế hệ thứ 14,Intel® Core™ i7-14700K,"Quý 4, 2023",20,28,- Tần số Turbo tối đa 5.6 GHz - - Tốc độ Turbo tối đa của P-core 5.5 GHz - - Tốc độ Turbo tối đa của E-core 4.3 GHz - - Tốc độ cơ bản của P-core 3.4 GHz - - Tốc độ cơ bản của E-core 2.5 GHz,125.0,100°C,33MB,LGA1700,- DDR5 up to 5600 MT/s - DDR4 up to 3200 MT/s,,PCIe® 5.0 & PCIe® 4.0,20.0,125.0,high
cpu_072,CPU,CPU Intel Core i9-13900KS (24 nhân 32 luồng - Boost tối đa 6.0 GHz - 36MB - 1700),18499000,https://phongvu.vn/cpu-intel-core-i9-13900ks-24-nhan-32-luong-boost-toi-da-6-0-ghz-36mb-1700--s230603290,Intel,36 tháng,Intel,Văn phòng,Core i9,Intel Core thế hệ thứ 13,Intel® Core™ i9-13900KS,"Quý 1, 2023",24,32,- Tần số Turbo tối đa 6.0 GHz - - Tốc độ Turbo tối đa của P-core 5.4 GHz - - Tốc độ Turbo tối đa của E-core 4.3 GHz - - Tốc độ cơ bản của P-core 3.2 GHz - - Tốc độ cơ bản của E-core 2.4 GHz,125.0,100°C,36MB,LGA1700,- DDR5 up to 5600 MT/s - DDR4 up to 3200 MT/s,,PCIe® 5.0 & PCIe® 4.0,20.0,125.0,extreme
cpu_073,CPU,CPU AMD Ryzen 7 7700 (8 nhân 16 luồng - Boost to 5.3 GHz - 32MB - AM5),9090000,https://phongvu.vn/cpu-amd-ryzen-7-7700-3-8ghz-boost-to-5-3ghz--s230603085,AMD,36 tháng,AMD,"Gaming, Văn phòng",Ryzen 7,AMD Ryzen thế hệ thứ 7,AMD Ryzen™ 7 7700,10/01/2023,8,16,- Xung nhịp cơ bản: 3.8GHz - - Xung nhịp tối đa lên tới: 5.3 GHz,65.0,95°C,32MB,AM5,- DDR5 up to 5200 MT/s,AMD Radeon™ Graphics,,,65.0,high
cpu_074,CPU,CPU AMD Ryzen 9 7900X3D (12 nhân 24 luồng - Boost to 5.6 GHz - 128MB - AM5),14859000,https://phongvu.vn/cpu-amd-ryzen-9-7900x3d-4-4ghz-boost-to-5-6ghz--s230603084,AMD,36 tháng,AMD,"Gaming, Văn phòng",Ryzen 9,AMD Ryzen thế hệ thứ 7,AMD Ryzen™ 9 7900X3D,28/02/2023,12,24,- Xung nhịp cơ bản: 4.4GHz - - Xung nhịp tối đa lên tới: 5.6 GHz,120.0,89°C,128MB,AM5,- DDR5 up to 5200 MT/s,AMD Radeon™ Graphics,,,120.0,high
cpu_075,CPU,CPU AMD Ryzen 9 7950X3D (16 nhân 32 luồng - Boost to 5.7 GHz - 128MB - AM5),19289000,https://phongvu.vn/cpu-amd-ryzen-9-7950x3d-4-2ghz-boost-to-5-7ghz--s230603083,AMD,36 tháng,AMD,"Gaming, Văn phòng",Ryzen 9,AMD Ryzen thế hệ thứ 7,AMD Ryzen™ 9 7950X3D,28/02/2023,16,32,- Xung nhịp cơ bản: 4.2GHz - - Xung nhịp tối đa lên tới: 5.7 GHz,120.0,89°C,128MB,AM5,- DDR5 up to 5200 MT/s,AMD Radeon™ Graphics,PCIe® 5.0,28.0,120.0,extreme
cpu_076,CPU,CPU AMD Ryzen 7 7800X3D (8 nhân 16 luồng - Boost to 5.0 GHz - 96MB - AM5),12449000,https://phongvu.vn/cpu-amd-ryzen-7-7800x3d-4-2-boost-to-5-0-ghz--s230400542,AMD,36 tháng,AMD,"Gaming, Đồ họa - Kỹ thuật",Ryzen 7,AMD Ryzen thế hệ thứ 7,AMD Ryzen™ 7 7800X3D,06/04/2023,8,16,- Xung nhịp cơ bản: 4.2GHz - - Xung nhịp tối đa lên tới: 5.0GHz,120.0,89°C,96MB,AM5,- DDR5 up to 5200 MT/s,AMD Radeon™ Graphics,,,120.0,high
cpu_077,CPU,CPU AMD Ryzen 9 7900 (12 nhân 24 luồng - Boost to 5.4 GHz - 64MB - AM5),10490000,https://phongvu.vn/cpu-amd-ryzen-9-7900-3-7ghz-boost-to-5-4ghz--s230104440,AMD,36 tháng,AMD,"Gaming, Văn phòng",Ryzen 9,AMD Ryzen thế hệ thứ 7,AMD Ryzen™ 9 7900,10/01/2023,12,24,- Xung nhịp cơ bản: 3.5GHz - - Xung nhịp tối đa lên tới: 4.4GHz,65.0,95°C,64MB,AM5,- DDR5 up to 5200 MT/s,AMD Radeon™ Graphics,,,65.0,high
cpu_078,CPU,CPU Intel Core i9-13900 (24 nhân 32 luồng - Boost tối đa 5.6 GHz - 36MB - 1700),15599000,https://phongvu.vn/cpu-intel-core-i9-13900-24-nhan-32-luong-boost-toi-da-5-6-ghz-36mb-1700--s230100137,Intel,36 tháng,Intel,Văn phòng,Core i9,Intel Core thế hệ thứ 13,Intel® Core™ i9-13900,"Quý 1, 2023",24,32,- Tần số Turbo tối đa 5.6 GHz - - Tốc độ Turbo tối đa của P-core 5.5 GHz - - Tốc độ Turbo tối đa của E-core 4.2 GHz - - Tốc độ cơ bản của P-core 2.0 GHz - - Tốc độ cơ bản của E-core 1.5 GHz,65.0,100°C,36MB,LGA1700,- DDR5 up to 5600 MT/s - DDR4 up to 3200 MT/s,,PCIe® 5.0 & PCIe® 4.0,20.0,65.0,extreme
cpu_079,CPU,CPU Intel Core i9-13900F (24 nhân 32 luồng - Boost tối đa 5.6 GHz - 36MB - 1700),16390000,https://phongvu.vn/cpu-intel-core-i9-13900f-24-nhan-32-luong-boost-toi-da-5-6-ghz-36mb-1700--s230100136,Intel,36 tháng,Intel,Văn phòng,Core i9,Intel Core thế hệ thứ 13,Intel® Core™ i9-13900F,"Quý 1, 2023",24,32,- Tần số Turbo tối đa 5.6 GHz - - Tốc độ Turbo tối đa của P-core 5.5 GHz - - Tốc độ Turbo tối đa của E-core 4.2 GHz - - Tốc độ cơ bản của P-core 2.0 GHz - - Tốc độ cơ bản của E-core 1.5 GHz,65.0,100°C,36MB,LGA1700,- DDR5 up to 5600 MT/s - DDR4 up to 3200 MT/s,,PCIe® 5.0 & PCIe® 4.0,20.0,65.0,extreme
cpu_080,CPU,CPU Intel Core i5-13400 (10 nhân 16 luồng - Boost tối đa 4.6 GHz - 20MB - 1700),6690000,https://phongvu.vn/cpu-intel-core-i5-13400-10-nhan-16-luong-boost-toi-da-4-6-ghz-20mb-1700--s230100133,Intel,36 tháng,Intel,Văn phòng,Core i5,Intel Core thế hệ thứ 13,Intel® Core™ i5-13400,,10,16,- Tần số Turbo tối đa 4.6 GHz - - Tốc độ Turbo tối đa của P-core 4.6 GHz - - Tốc độ Turbo tối đa của E-core 3.3 GHz - - Tốc độ cơ bản của P-core 2.5 GHz - - Tốc độ cơ bản của E-core 1.8 GHz,65.0,100°C,20MB,LGA1700,- Hỗ trợ tối đa: 192 GB -DDR5 up to 4800 MT/s - DDR4 up to 3200 MT/s,Intel® UHD Graphics 730,PCIe® 5.0 & PCIe® 4.0,20.0,65.0,mid
cpu_081,CPU,CPU Intel Core i5-13400F (10 nhân 16 luồng - Boost tối đa 4.6 GHz - 20MB - 1700),5090000,https://phongvu.vn/cpu-intel-core-i5-13400f-10-nhan-16-luong-boost-toi-da-4-6-ghz-20mb-1700--s230100132,Intel,36 tháng,Intel,Văn phòng,Core i5,Intel Core thế hệ thứ 13,Intel® Core™ i5-13400F,"Quý 4, 2022",10,16,- Tần số Turbo tối đa 4.6 GHz - - Tốc độ Turbo tối đa của P-core 4.6 GHz - - Tốc độ Turbo tối đa của E-core 3.3 GHz - - Tốc độ cơ bản của P-core 2.5 GHz - - Tốc độ cơ bản của E-core 1.8 GHz,65.0,100°C,20MB,LGA1700,- Hỗ trợ tối đa: 192 GB -DDR5 up to 4800 MT/s - DDR4 up to 3200 MT/s,Intel® UHD Graphics 730,PCIe® 5.0 & PCIe® 4.0,20.0,65.0,mid
cpu_082,CPU,CPU Intel Core i9-13900K (24 nhân 32 luồng - Boost tối đa 5.8 GHz - 36MB - 1700),15499000,https://phongvu.vn/cpu-intel-core-i9-13900k-24-nhan-32-luong-boost-toi-da-5-8-ghz-36mb-1700--s221000501,Intel,36 tháng,Intel,,Core i9,Intel Core thế hệ thứ 13,Intel® Core™ i9-13900K,"Quý 4, 2022",24,32,- Tần số Turbo tối đa 5.8 GHz - - Tốc độ Turbo tối đa của P-core 5.4 GHz - - Tốc độ Turbo tối đa của E-core 4.3 GHz - - Tốc độ cơ bản của P-core 3.0 GHz - - Tốc độ cơ bản của E-core 2.2 GHz,125.0,,36MB,LGA1700,- DDR5 up to 5600 MT/s - DDR4 up to 3200 MT/s,Intel® UHD Graphics 770,PCIe® 5.0 & PCIe® 4.0,20.0,125.0,extreme
cpu_083,CPU,CPU Intel Core i9-13900KF (24 nhân 32 luồng - Boost tối đa 5.8 GHz - 36MB - 1700),14999000,https://phongvu.vn/cpu-intel-core-i9-13900kf-24-nhan-32-luong-boost-toi-da-5-8-ghz-36mb-1700--s221000500,Intel,36 tháng,Intel,,Core i9,Intel Core thế hệ thứ 13,Intel® Core™ i9-13900KF,"Quý 4, 2022",24,32,- Tần số Turbo tối đa 5.8 GHz - - Tốc độ Turbo tối đa của P-core 5.4 GHz - - Tốc độ Turbo tối đa của E-core 4.3 GHz - - Tốc độ cơ bản của P-core 3.0 GHz - - Tốc độ cơ bản của E-core 2.2 GHz,125.0,100°C,36MB,LGA1700,- Hỗ trợ tối đa: 192 GB - DDR5 up to 5600 MT/s - DDR4 up to 3200 MT/s,,PCIe® 5.0 & PCIe® 4.0,20.0,125.0,high
cpu_084,CPU,CPU Intel Core i7-13700K (16 nhân 24 luồng - Boost tối đa 5.4 GHz - 30MB - 1700),11190000,https://phongvu.vn/cpu-intel-core-i7-13700k-16-nhan-24-luong-boost-toi-da-5-4-ghz-30mb-1700--s221000499,Intel,36 tháng,Intel,,Core i7,Intel Core thế hệ thứ 13,Intel® Core™ i7-13700K,"Quý 4, 2022",16,24,- Tần số Turbo tối đa 5.4 GHz - - Tốc độ Turbo tối đa của P-core 5.3 GHz - - Tốc độ Turbo tối đa của E-core 4.2 GHz - - Tốc độ cơ bản của P-core 3.4 GHz - - Tốc độ cơ bản của E-core 2.5 GHz,125.0,100°C,30MB,LGA1700,- Hỗ trợ tối đa: 192 GB - DDR5 up to 5600 MT/s - DDR4 up to 3200 MT/s,Intel® UHD Graphics 770,PCIe® 5.0 & PCIe® 4.0,20.0,125.0,high
cpu_085,CPU,CPU Intel Core i7-13700KF (16 nhân 24 luồng - Boost tối đa 5.4 GHz - 30MB - 1700),10490000,https://phongvu.vn/cpu-intel-core-i7-13700kf-16-nhan-24-luong-boost-toi-da-5-4-ghz-30mb-1700--s221000498,Intel,36 tháng,Intel,,Core i7,Intel Core thế hệ thứ 13,Intel® Core™ i7-13700KF,"Quý 4, 2022",16,24,- Tần số Turbo tối đa 5.4 GHz - - Tốc độ Turbo tối đa của P-core 5.3 GHz - - Tốc độ Turbo tối đa của E-core 4.2 GHz - - Tốc độ cơ bản của P-core 3.4 GHz - - Tốc độ cơ bản của E-core 2.5 GHz,125.0,100°C,30MB,LGA1700,- DDR5 up to 5600 MT/s - DDR4 up to 3200 MT/s,,PCIe® 5.0 & PCIe® 4.0,20.0,125.0,high
cpu_086,CPU,CPU Intel Core i5-13600KF (14 nhân 20 luồng - Boost tối đa 5.1 GHz - 24MB - 1700),7729000,https://phongvu.vn/cpu-intel-core-i5-13600kf-14-nhan-20-luong-boost-toi-da-5-1-ghz-24mb-1700--s221000496,Intel,36 tháng,Intel,,Core i5,Intel Core thế hệ thứ 13,Intel® Core™ i5-13600KF,"Quý 4, 2022",14,20,- Tần số Turbo tối đa 5.1 GHz - - Tốc độ Turbo tối đa của P-core 5.10 GHz - - Tốc độ Turbo tối đa của E-core 3.9 GHz - - Tốc độ cơ bản của P-core 3.5 GHz - - Tốc độ cơ bản của E-core 2.6 GHz,125.0,100°C,24MB,LGA1700,- DDR5 up to 5600 MT/s - DDR4 up to 3200 MT/s,,PCIe® 5.0 & PCIe® 4.0,20.0,125.0,mid
cpu_087,CPU,CPU AMD Ryzen 7 7700X (8 nhân 16 luồng - Boost to 5.4 GHz - 32MB - AM5),9790000,https://phongvu.vn/cpu-amd-ryzen-7-7700x-4-5ghz-boost-to-5-4ghz--s220919569,AMD,36 tháng,AMD,"Gaming, Văn phòng, Đồ họa - Kỹ thuật, Doanh nghiệp, Học sinh - Sinh viên",Ryzen 7,AMD Ryzen thế hệ thứ 7,AMD Ryzen™ 7 7700X,27/09/2022,8,16,- Xung nhịp cơ bản: 4.5GHz - - Xung nhịp tối đa lên tới: 5.4GHz,105.0,95°C,32MB,AM5,- DDR5 up to 5200 MT/s,AMD Radeon™ Graphics,,,105.0,high
cpu_088,CPU,CPU AMD Ryzen 9 7900X (12 nhân 24 luồng - Boost to 5.6 GHz - 64MB - AM5),11290000,https://phongvu.vn/cpu-amd-ryzen-9-7900x-4-7ghz-boost-to-5-6ghz--s220919568,AMD,36 tháng,AMD,"Gaming, Văn phòng, Đồ họa - Kỹ thuật, Doanh nghiệp, Học sinh - Sinh viên",Ryzen 9,AMD Ryzen thế hệ thứ 7,AMD Ryzen™ 9 7900X,27/09/2022,12,24,- Xung nhịp cơ bản: 4.7GHz - - Xung nhịp tối đa lên tới: 5.6GHz,170.0,95°C,64MB,AM5,- DDR5 up to 5200 MT/s,AMD Radeon™ Graphics,,,170.0,high
cpu_089,CPU,CPU AMD Ryzen 9 7950X (16 nhân 32 luồng - Boost to 5.7 GHz - 64MB - AM5),20990000,https://phongvu.vn/cpu-amd-ryzen-9-7950x-4-5ghz-boost-to-5-7ghz--s220919567,AMD,36 tháng,AMD,"Gaming, Văn phòng, Đồ họa - Kỹ thuật, Doanh nghiệp, Học sinh - Sinh viên",Ryzen 9,AMD Ryzen thế hệ thứ 7,AMD Ryzen™ 9 7950X,27/09/2022,16,32,- Xung nhịp cơ bản: 4.5GHz - - Xung nhịp tối đa lên tới: 5.7 GHz,170.0,95°C,64MB,AM5,- DDR5 up to 5200 MT/s,AMD Radeon™ Graphics,,,170.0,extreme
cpu_090,CPU,CPU AMD RYZEN™ Threadripper pro 5975WX (32 Core/64 Threads - 3.6 GHz Boost to 4.5 GHz - 128MB Cache - sWRX8),97990000,https://phongvu.vn/cpu-amd-ryzen-threadripper-pro-5975wx-3-6-ghz-boost-to-4-5-ghz--s220802537,AMD,36 tháng,AMD,"Gaming, Văn phòng, Đồ họa - Kỹ thuật, Doanh nghiệp, Học sinh - Sinh viên",Ryzen Threadripper,AMD Threadripper,AMD Ryzen™ Threadripper pro 5975WX,08/03/2022,32,64,- Xung nhịp cơ bản: 3.6GHz - - Xung nhịp tối đa lên tới: 4.5 GHz,280.0,95°C,128MB,sWRX8,- DDR4 up to 3200 MT/s,,PCIe® 4.0,,280.0,extreme
cpu_091,CPU,CPU AMD RYZEN™ Threadripper pro 5965WX (24 Core/48 Threads - 3.8 GHz Boost to 4.5 GHz - 128MB Cache - sWRX8),65259000,https://phongvu.vn/cpu-amd-ryzen-threadripper-pro-5965wx-3-8-ghz-boost-to-4-5-ghz--s220801966,AMD,36 tháng,AMD,"Gaming, Văn phòng, Đồ họa - Kỹ thuật, Doanh nghiệp, Học sinh - Sinh viên",Ryzen Threadripper,AMD Threadripper,AMD Ryzen™ Threadripper pro 5965WX,08/03/2022,24,48,- Xung nhịp cơ bản: 3.8GHz - - Xung nhịp tối đa lên tới: 4.5GHz,280.0,95°C,128MB,sWRX8,- DDR4 up to 3200 MT/s,,PCIe® 4.0,,280.0,extreme
cpu_092,CPU,CPU AMD RYZEN™ Threadripper pro 5995WX (64 Core/128 Threads - 2.7 GHz Boost to 4.5 GHz - 256MB Cache - sWRX8),177909000,https://phongvu.vn/cpu-amd-ryzen-threadripper-pro-5995wx-2-7-ghz-boost-to-4-5-ghz--s220801965,AMD,36 tháng,AMD,"Gaming, Văn phòng, Đồ họa - Kỹ thuật, Doanh nghiệp, Học sinh - Sinh viên",Ryzen Threadripper,AMD Threadripper,AMD Ryzen™ Threadripper pro 5995WX,08/03/2022,64,128,- Xung nhịp cơ bản: 2.7GHz - - Xung nhịp tối đa lên tới: 4.5GHz,280.0,95°C,256MB,sWRX8,- DDR4 up to 3200 MT/s,,PCIe® 4.0,,280.0,extreme
cpu_093,CPU,CPU AMD RYZEN™ 5 3400G (4 Core/8 Threads - 3.7GHz Boost to 4.2GHz - 4MB Cache - AM4),2190000,https://phongvu.vn/cpu-amd-ryzen-5-3400g-3-7ghz-boost-to-4-2ghz--s220800030,AMD,36 tháng,AMD,"Gaming, Văn phòng, Đồ họa - Kỹ thuật, Doanh nghiệp, Học sinh - Sinh viên",Ryzen 5,AMD Ryzen thế hệ thứ 3,AMD Ryzen™ 5 3400G,07/07/2019,4,8,- Xung nhịp cơ bản: 3.7GHz - - Xung nhịp tối đa lên tới: 4.2GHz,65.0,95°C,4MB,AM4,- DDR4 up to 2933 MT/s,AMD Radeon™ RX Vega 11 Graphics,PCIe® 3.0,,65.0,budget
cpu_094,CPU,CPU AMD RYZEN™ 5 5500 (6 Core/12 Threads - 3.6 GHz Boost to 4.2 GHz - 16MB Cache - AM4),2649000,https://phongvu.vn/cpu-amd-ryzen-5-5500-3-6-ghz-boost-to-4-2-ghz--s220800024,AMD,36 tháng,AMD,"Gaming, Văn phòng, Đồ họa - Kỹ thuật, Doanh nghiệp, Học sinh - Sinh viên",Ryzen 5,AMD Ryzen thế hệ thứ 5,AMD Ryzen™ 5 5500,04/04/2022,6,12,- Xung nhịp cơ bản: 3.6GHz - - Xung nhịp tối đa lên tới: 4.2 GHz,65.0,90°C,16MB,AM4,- DDR4 up to 3200 MT/s,,PCIe® 3.0,,65.0,budget
cpu_095,CPU,CPU AMD RYZEN™ 5 5600 (6 Core/12 Threads - 3.5 GHz Boost to 4.4 GHz - 32MB Cache - AM4),3729000,https://phongvu.vn/cpu-amd-ryzen-5-5600-3-5-ghz-boost-to-4-4-ghz--s220800023,AMD,36 tháng,AMD,"Gaming, Văn phòng, Đồ họa - Kỹ thuật, Doanh nghiệp, Học sinh - Sinh viên",Ryzen 5,AMD Ryzen thế hệ thứ 5,AMD Ryzen™ 5 5600,04/04/2022,6,12,- Xung nhịp cơ bản: 3.5GHz - - Xung nhịp tối đa lên tới: 4.4GHz,65.0,90°C,32MB,AM4,- DDR4 up to 3200 MT/s,,PCIe® 4.0,,65.0,mid
cpu_096,CPU,CPU AMD RYZEN™ 3 4100 BOX (4 Core/8 Threads - 3.8 GHz Boost to 4.0 GHz - 4MB Cache - AM4),1990000,https://phongvu.vn/cpu-amd-ryzen-3-4100-box-3-8-ghz-boost-to-4-0-ghz--s220800022,AMD,36 tháng,AMD,"Gaming, Văn phòng, Đồ họa - Kỹ thuật, Doanh nghiệp, Học sinh - Sinh viên",Ryzen 3,AMD Ryzen thế hệ thứ 4,AMD Ryzen™ 3 4100 BOX,04/04/2022,4,8,- Xung nhịp cơ bản: 3.8GHz - - Xung nhịp tối đa lên tới: 4.0GHz,65.0,95°C,4MB,AM4,- DDR4 up to 3200 MT/s,,PCIe® 3.0,,65.0,budget
cpu_097,CPU,CPU AMD RYZEN™ 5 4500 (6 Core/12 Threads - 3.6 GHz Boost to 4.1 GHz - 8MB Cache - AM4),2249000,https://phongvu.vn/cpu-amd-ryzen-5-4500-3-6-ghz-boost-to-4-1-ghz--s220800021,AMD,36 tháng,AMD,"Gaming, Văn phòng, Đồ họa - Kỹ thuật, Doanh nghiệp, Học sinh - Sinh viên",Ryzen 5,AMD Ryzen thế hệ thứ 4,AMD Ryzen™ 5 4500,06/01/2020,6,12,- Xung nhịp cơ bản: 2.3GHz - - Xung nhịp tối đa lên tới: 4.0 GHz,10.0,105°C,8MB,AM4,- DDR4 up to 4266 MT/s,AMD Radeon™ Graphics,PCIe® 3.0,,10.0,budget
cpu_098,CPU,CPU AMD RYZEN™ 7 5700X (8 Core/16 Threads - 3.4GHz Boost to 4.6GHz - 32MB Cache - AM4),6090000,https://phongvu.vn/cpu-amd-ryzen-7-5700x-3-4ghz-boost-to-4-6ghz--s220800020,AMD,36 tháng,AMD,"Gaming, Văn phòng, Đồ họa - Kỹ thuật, Doanh nghiệp, Học sinh - Sinh viên",Ryzen 7,AMD Ryzen thế hệ thứ 5,AMD Ryzen™ 7 5700X,04/04/2022,8,16,- Xung nhịp cơ bản: 4.6GHz - - Xung nhịp tối đa lên tới: 3.4 GHz,65.0,90°C,32MB,AM4,- DDR4 up to 3200 MT/s,,PCIe® 4.0,,65.0,mid
cpu_099,CPU,CPU AMD RYZEN™ 7 5800X3D (8 Core/16 Threads - 3.4GHz Boost to 4.5GHz - 96MB Cache - AM4),9559000,https://phongvu.vn/cpu-amd-ryzen-7-5800x3d-3-4ghz-boost-to-4-5ghz--s220800019,AMD,36 tháng,AMD,"Gaming, Văn phòng, Đồ họa - Kỹ thuật, Doanh nghiệp, Học sinh - Sinh viên",Ryzen 7,AMD Ryzen thế hệ thứ 5,AMD Ryzen™ 7 5800X3D,11/05/2020,8,16,- Xung nhịp cơ bản: 3.4GHz - - Xung nhịp tối đa lên tới: 4.5 GHz,105.0,90°C,96MB,AM4,- DDR4 up to 3200 MT/s,,PCIe® 4.0,,105.0,high
cpu_100,CPU,CPU Intel Core i9 12900 (16 nhân 24 luồng - Boost tối đa 5.1 GHz - 30MB - 1700),10999000,https://phongvu.vn/cpu-intel-core-i9-12900-16-nhan-24-luong-boost-toi-da-5-1-ghz-30mb-1700--s211208138,Intel,36 tháng,Intel,,Core i9,Intel Core thế hệ thứ 12,Intel® Core™ i9-12900,"Quý 1, 2022",16,24,- Tần số Turbo tối đa 5.1 GHz - - Tốc độ Turbo tối đa của P-core 5.0 GHz - - Tốc độ Turbo tối đa của E-core 3.8 GHz - - Tốc độ cơ bản của P-core 2.4 GHz - - Tốc độ cơ bản của E-core 1.8 GHz,65.0,100°C,30MB,LGA1700,- DDR5 up to 4800 MT/s - DDR4 up to 3200 MT/s,,PCIe® 5.0 & PCIe® 4.0,20.0,65.0,high
cpu_101,CPU,CPU Intel Core i9 13900F (16 nhân 24 luồng - Boost tối đa 5.1 GHz - 30MB - 1700),10499000,https://phongvu.vn/cpu-intel-core-i9-13900f-16-nhan-24-luong-boost-toi-da-5-1-ghz-30mb-1700--s211208137,Intel,36 tháng,Intel,,Core i9,Intel Core thế hệ thứ 12,Intel® Core™ i9-12900F,"Quý 1, 2022",16,24,- Tần số Turbo tối đa 5.1 GHz - - Tốc độ Turbo tối đa của P-core 5.0 GHz - - Tốc độ Turbo tối đa của E-core 3.8 GHz - - Tốc độ cơ bản của P-core 2.4 GHz - - Tốc độ cơ bản của E-core 1.8 GHz,65.0,100°C,30MB,LGA1700,- DDR5 up to 4800 MT/s - DDR4 up to 3200 MT/s,,PCIe® 5.0 & PCIe® 4.0,20.0,65.0,high
cpu_102,CPU,CPU Intel Core i7-12700F (12 nhân 20 luồng - Boost tối đa 4.9 GHz - 25MB - 1700),8390000,https://phongvu.vn/cpu-intel-core-i7-12700f-12-nhan-20-luong-boost-toi-da-4-9-ghz-25mb-1700--s211208135,Intel,36 tháng,Intel,"Gaming, Văn phòng, Đồ họa - Kỹ thuật, Doanh nghiệp, Học sinh - Sinh viên",Core i7,Intel Core thế hệ thứ 12,Intel® Core™ i7-12700F,"Quý 1, 2022",12,20,- Tần số Turbo tối đa 4.9 GHz - - Tốc độ Turbo tối đa của P-core 4.8 GHz - - Tốc độ Turbo tối đa của E-core 3.6 GHz - - Tốc độ cơ bản của P-core 2.1 GHz - - Tốc độ cơ bản của E-core 1.6 GHz,65.0,100°C,25MB,LGA1700,- DDR5 up to 4800 MT/s - DDR4 up to 3200 MT/s,,PCIe® 5.0 & PCIe® 4.0,20.0,65.0,high
cpu_103,CPU,CPU Intel Core i3 12100 (4 nhân 8 luồng - Boost tối đa 4.3 GHz - 12MB - 1700),4590000,https://phongvu.vn/cpu-intel-core-i3-12100-4-nhan-8-luong-boost-toi-da-4-3-ghz-12mb-1700--s211208128,Intel,36 tháng,Intel,"Gaming, Văn phòng, Đồ họa - Kỹ thuật, Doanh nghiệp, Học sinh - Sinh viên",Core i3,Intel Core thế hệ thứ 12,Intel® Core™ i3-12100,"Quý 1, 2022",4,8,- Tần số Turbo tối đa 4.3 GHz - - Tốc độ Turbo tối đa của P-core 4.3 GHz - - Tốc độ cơ bản của P-core 3.3 GHz,60.0,100°C,12MB,LGA1700,- Hỗ trợ tối đa: 128 GB -DDR5 up to 4800 MT/s - DDR4 up to 3200 MT/s,Intel® UHD Graphics 730,PCIe® 5.0 & PCIe® 4.0,20.0,60.0,mid
