ID,category,name,price,link,brand,warranty,model_name,part_number,series,color,Công suất tối đa,Hiệu suất,modular,form_factor,Số cổng cắm,Quạt làm mát,Nguồn đầu vào,Khối lượng,Kích thước,pfc,protection_cert,Nhiệt độ môi trường hoạt động lý tưởng của nguồn,power_factor,tier,warranty_period,sku,status,features,availability,led,warranty_desc,wattage_w,psu_tier
psu_136,PSU,Nguồn máy tính Corsair RM1000e - 1000W - Cybenetics Gold - Full Modular (CP-9020294-NA),4890000,https://phongvu.vn/nguon-may-tinh-psu-corsair-rm1000e-white-atx-3-1-full-modular-cp-9020294-na--s260302485,Corsair,84 tháng,RM1000e,CP-9020294-NA,RMe Series,Trắng,1000W,Cybenetics Gold,Full Modular,ATX,"1 x 24-pin Main, 1 x 16-pin (12+4) PCIE, 2 x 8-pin (4+4) EPS, 6 x SATA, 3 x 8-pin (6+2) PCIE, 2 x PATA",1 x 120 mm,100 - 240VAC,3.23kg,14 x 15 x 8.6 cm,,,,,,,,,,,,,1000.0,high
psu_137,PSU,Nguồn máy tính Corsair HX1500i 2025 - 1500W - 80 Plus Platinum - Full Modular (CP-9020309-NA),8990000,https://phongvu.vn/nguon-may-tinh-psu-corsair-hx1500i-2025-full-modular-cp-9020309-na--s260302470,Corsair,120 tháng,HX1500i 2025,CP-9020309-NA,HXI Series,Đen,1500W,80 Plus Platinum,Full Modular,ATX,"1 x 24-pin Main, 6 x PATA, 2 x 8-pin (4+4) EPS, 8 x SATA, 5 x 8-pin (6+2) PCIE",1 x 140 mm,100 - 240VAC,5.042kg,,,,,,,,,,,,,,1500.0,extreme
psu_138,PSU,Nguồn máy tính Super Flower Leadex VII XG 1000W ATX 3.1 - 1000W - 80 Plus Gold - Full Modular (SF-1000F14XG(WH)),4290000,https://phongvu.vn/nguon-may-tinh-super-flower-leadex-vii-xg-1000w-atx-3-1-white-80-plus-gold-sf-1000f14xg-wh--s250504130,Super Flower,60 tháng,Leadex VII XG 1000W ATX 3.1,SF-1000F14XG(WH),,Trắng,1000W,80 Plus Gold,Full Modular,ATX,"1 x 20+4 pin MB, 2 x 8-pin (4+4) CPU, 4 x 8-pin (6+2) PCIE, 3 x 4 SATA, 1 x MOLEX (4-pin), 1 x 16-pin PCIE",1 x 140 mm,100 - 240VAC,,150 x 150 x 86 mm,Active,"OVP, OCP, OPP, SCP, UVP, OTP, NLO, SIP",50 độ C,,,,,,,,,,1000.0,high
psu_139,PSU,Nguồn máy tính Super Flower Leadex III Gold 850W ATX 3.1 - 850W - 80 Plus Gold - Full Modular (SF-850F14GE(GL)),2990000,https://phongvu.vn/nguon-may-tinh-super-flower-leadex-iii-gold-850w-atx-3-1-black-80-plus-gold-sf-850f14ge-gl--s250504126,Super Flower,60 tháng,Leadex III Gold 850W ATX 3.1,SF-850F14GE(GL),,Đen,850W,80 Plus Gold,Full Modular,ATX,"1 x 20+4 pin MB, 2 x 8-pin (4+4) CPU, 1 x SLI (2 x PCI 6+2 Pin), 2 x 4 SATA, 1 x MOLEX (4-pin), 1 x 16-pin PCIE, 1 x 8-pin (6+2) PCIE",1 x 140 mm,100 - 240VAC,2.64kg,160 x 150 x 86 mm,Passive,"OVP, OCP, OPP, SCP, UVP, OTP, LVP, NLO, SIP",50 độ C,,,,,,,,,,850.0,high
psu_140,PSU,Nguồn máy tính Super Flower Leadex VII XG 1000W ATX 3.1 - 1000W - 80 Plus Gold - Full Modular (SF-1000F14XG(BK)),4190000,https://phongvu.vn/nguon-may-tinh-super-flower-leadex-vii-xg-1000w-atx-3-1-black-80-plus-gold-sf-1000f14xg--s250504123,Super Flower,60 tháng,Leadex VII XG 1000W ATX 3.1,SF-1000F14XG(BK),,Đen,1000W,80 Plus Gold,Full Modular,ATX,"1 x 20+4 pin MB, 2 x 8-pin (4+4) CPU, 4 x 8-pin (6+2) PCIE, 3 x 4 SATA, 1 x MOLEX (4-pin), 1 x 16-pin PCIE",1 x 140 mm,100 - 240VAC,,150 x 150 x 86 mm,Active,"OVP, OCP, OPP, SCP, UVP, OTP, NLO, SIP",50 độ C,,,,,,,,,,1000.0,high
psu_141,PSU,Nguồn máy tính Super Flower Leadex VII Platinum Pro 1200W ATX 3.1 - 1200W - 80 Plus Platinum - Full Modular (SF-1200F14XP (BK)),5590000,https://phongvu.vn/nguon-may-tinh-super-flower-leadex-vii-platinum-pro-1200w-atx-3-1-black-80-plus-platinum-sf-1200f14xp--s250504125,Super Flower,120 tháng,Leadex VII Platinum Pro 1200W ATX 3.1,SF-1200F14XP (BK),,Đen,1200W,80 Plus Platinum,Full Modular,ATX,"1 x 20+4 pin MB, 2 x 8-pin (4+4) EPS, 4 x 8-pin (6+2) PCIE, 3 x 4 SATA, 1 x MOLEX (4-pin), 1 x 16-pin (12+4) PCIE",1 x 140 mm,100 - 240VAC,3.2kg,150 x 150 x 86 cm,Active,"OVP, OCP, OPP, SCP, UVP, OTP, NLO, SIP",50 độ C,,,,,,,,,,1200.0,extreme
psu_142,PSU,Nguồn máy tính Corsair RM1200e ATX 3.1 80 Plus Gold - 1200W - 80 Plus Gold - Full Modular,5290000,https://phongvu.vn/nguon-may-tinh-corsair-rm1200e-atx-3-1-80-plus-gold-full-modul--s250309517,Corsair,84 tháng,RM1200e ATX 3.1 80 Plus Gold,,RMe Series,Đen,1200W,80 Plus Gold,Full Modular,ATX,"1 x 24-pin Main, 2 x 8-pin (4+4) EPS, 7 x SATA, 4 x PATA, 1 x 16-pin (12+4) PCIE, 6 x 8-pin (6+2) PCIE",,100 - 240VAC,3.377 kg,15 x 15 x 8.6 cm,,,,,,,,,,,,,1200.0,extreme
psu_143,PSU,Nguồn máy tính Corsair HX1200i 2023 - 1200W - 80 Plus Platinum - Full Modular (CP-9020281-NA),7890000,https://phongvu.vn/nguon-may-tinh-corsair-hx1200i-2023-cp-9020281-na--s241101870,Corsair,120 tháng,HX1200i 2023,CP-9020281-NA,HX,Đen,1200W,80 Plus Platinum,Full Modular,ATX,"1 x 24-pin Main, 2 x 8-pin (4+4) EPS, 4 x 8-pin (6+2) PCIE, 1 x 16-pin (12+4) PCIE, 8 x SATA, 8 x PATA, 1 x USB Type-C",1 x 140 mm,100 - 240VAC,4.4 Kg,150 x 86 x 200 mm,Active,,,,,,,,,,,,1200.0,extreme
psu_144,PSU,Nguồn máy tính Thermaltake TOUGHPOWER GF3 - 1650W - 80 Plus Gold - Full Modular,8690000,https://phongvu.vn/nguon-may-tinh-thermaltake-toughnguon-may-tinh-gf3-1650w-atx-3-0--s240302576,Thermaltake,120 tháng,TOUGHPOWER GF3,,,Đen,1650W,80 Plus Gold,Full Modular,ATX,"1 x 24-pin Main, 1x 8-pin EPS, 1 x 8-pin (4+4) CPU, 2 x 16-pin (12+4) PCIE, 4 x SATA, 2 x Peripheral (4-pin), 1 x Floppy, 6 x 8-pin (6+2) PCIE",1 x 140 mm,100 - 240VAC,150 x 86 x 180 mm,2.14 kg,Active,"CE, UKCA, cTUVus, TÜV, FCC, IC, BSMI, EAC, CB, BIS",50 độ C,,,,,,,,,,1650.0,extreme
psu_145,PSU,Nguồn máy tính Thermaltake TOUGHPOWER GF A3 - 1050W - 80 Plus Gold - Full Modular,4290000,https://phongvu.vn/nguon-may-tinh-thermaltake-toughnguon-may-tinh-gf-a3-1050w-atx-3-0--s240302574,Thermaltake,120 tháng,TOUGHPOWER GF A3,,,Đen,1050W,80 Plus Gold,Full Modular,ATX,"1 x 24-pin Main, 2 x 8-pin (4+4) EPS, 5 x 8-pin (6+2) PCIE, 1 x 16-pin (12+4) PCIE, 12 x SATA, 4 x Peripheral (4-pin), 1 x Floppy",1 x 120 mm,100 - 240VAC,150 x 86 x 140 mm,1 kg,Active,"OVP, SCP, OPP, OTP, UVP, OCP",45 độ C,,,,,,,,,,1050.0,extreme
