ID,category,name,price,link,brand,warranty,model_name,part_number,series,color,Công suất tối đa,Hiệu suất,modular,form_factor,Số cổng cắm,Quạt làm mát,Nguồn đầu vào,Khối lượng,Kích thước,pfc,protection_cert,Nhiệt độ môi trường hoạt động lý tưởng của nguồn,power_factor,tier,warranty_period,sku,status,features,availability,led,warranty_desc,wattage_w,psu_tier
psu_156,PSU,Nguồn máy tính Segotep KL1250G - 1250W - 80 Plus Gold - Full Modular,5690000,https://phongvu.vn/nguon-may-tinh-segotep-kl1250w-white-1250w-80-plus-gold-full-modular-atx3-0-pcie5-0-jp-cap--s230300518,Segotep,36 tháng,KL1250G,,,Trắng,1250W,80 Plus Gold,Full Modular,ATX,"1 x 24-pin Main, 2 x 8-pin (4+4) CPU, 6 x 8-pin (6+2) PCIE, 1 x 16-pin (12+4) PCIE, 12 x SATA",1 x 140 mm,100 - 240VAC,3.1kg,150 x180 x 85mm,Active,,,,,,,,,,,,1250.0,extreme
psu_158,PSU,Nguồn máy tính Segotep GM1250W - 1250W - 80 Plus Gold - Full Modular,4990000,https://phongvu.vn/nguon-may-tinh-segotep-gm1250w-black-1250w-80-plus-gold-full-modular-atx3-0-pcie5-0--s230300516,Segotep,36 tháng,GM1250W,,,Đen,1250W,80 Plus Gold,Full Modular,ATX,"1 x 24-pin Main, 2 x 8-pin (4+4) CPU, 6 x 8-pin (6+2) PCIE, 1 x 16-pin (12+4) PCIE, 12 x SATA",1 x 140 mm,100 - 240VAC,3.1kg,150 x 160 x 85mm,Active,"OPP, OVP, SCP, OTP, UVP, OCP, SPD",,,,,,,,,,,1250.0,extreme
psu_159,PSU,Nguồn máy tính Segotep BN750W - 750W - 80 Plus Bronze,1790000,https://phongvu.vn/nguon-may-tinh-segotep-bn750w-750w-80-plus-bronze-atx3-0-pcie-5-0--s230300515,Segotep,36 tháng,BN750W,,,Đen,750W,80 Plus Bronze,không hỗ trợ,ATX,"1 x 24-pin Main, 2 x 8-pin (4+4) CPU, 3 x 8-pin (6+2) PCIE, 1 x 16-pin (12+4) PCIE, 3 x SATA",1 x 120 mm,100 - 240VAC,1.8kg,150 x 140 x 85mm,Active,"OPP, OVP, SCP, UVP, SPD",,,,,,,,,,,750.0,mid
psu_160,PSU,Nguồn máy tính Segotep BN650W - 650W - 80 Plus Bronze,1490000,https://phongvu.vn/nguon-may-tinh-segotep-bn650w-650w-80-plus-bronze-atx3-0-pcie-5-0--s230300514,Segotep,36 tháng,BN650W,,,Đen,650W,80 Plus Bronze,không hỗ trợ,ATX,"3 x SATA, 3 x 8-pin (6+2) PCIE, 1 x 24-pin Main, 2 x 8-pin (4+4) CPU, 1 x 16-pin (12+4) PCIE",1 x 120 mm,220V,1.8kg,150 x 140 x 85mm,Active,"OPP, OVP, SCP, UVP, SPD",,,,,,,,,,,650.0,mid
psu_161,PSU,Nguồn máy tính Segotep GM850W - 850W - 80 Plus Gold - Full Modular,2890000,https://phongvu.vn/nguon-may-tinh-segotep-gm850w-white-850w-80-plus-gold-full-modular-atx3-0-pcie-5-0--s230300513,Segotep,36 tháng,GM850W,,,Trắng,850W,80 Plus Gold,Full Modular,ATX,"1 x 24-pin Main, 2 x 8-pin (4+4) CPU, 4 x 8-pin (6+2) PCIE, 1 x 16-pin (12+4) PCIE, 8 x SATA",1 x 120 mm,100 - 240VAC,2.5kg,150 x 140 x 85mm,Active,"OPP, OVP, SCP, OTP, UVP, OCP, SPD",,,,,,,,,,,850.0,high
psu_163,PSU,Nguồn máy tính Segotep SG-650A - 550W - 80 Plus,1090000,https://phongvu.vn/nguon-may-tinh-segotep-sg-650a-an550w--s230300511,Segotep,36 tháng,SG-650A,AN550W,,Đen,550W,80 Plus,không hỗ trợ,ATX,"1 x 24-pin Main, 2 x 8-pin (4+4) CPU, 4 x 8-pin (6+2) PCIE, 3 x SATA",1 x 120 mm,220V,1.5 kg,15 x 14 x 8.5 cm,Active,,,,,,,,,,,,550.0,budget
psu_164,PSU,Nguồn máy tính Golden Field GPG850 - 850W - 80 Plus Gold - Full Modular,2650000,https://phongvu.vn/nguon-may-tinh-golden-field-80-plus-gold-gpg850-850w-80plus-gold-full-modular--s210400996,Golden Field,60 tháng,GPG850,,,Đen,850W,80 Plus Gold,Full Modular,ATX,"8 x SATA, 2 x Peripheral (4-pin), 2 x 8-pin (6+2) PCIE, 1 x 24-pin Main, 1 x 8-pin (4+4) CPU",1 x 120 mm,100 - 240VAC,2 kg,16 x 15 x 85 cm,Active,,,,,,,,,,,,850.0,high
psu_165,PSU,Nguồn máy tính Golden Field GPG750 - 750W - 80 Plus Gold - Full Modular,2460000,https://phongvu.vn/nguon-may-tinh-golden-field-80-plus-gold-gpg750-750w-80plus-gold-full-modular--s210400995,Golden Field,60 tháng,GPG750,,,Đen,750W,80 Plus Gold,Full Modular,ATX,"8 x SATA, 2 x Peripheral (4-pin), 2 x 8-pin (6+2) PCIE, 1 x 24-pin Main, 1 x 8-pin (4+4) CPU",1 x 120 mm,100 - 240VAC,2 kg,16 x 15 x 8.5 cm,Active,"OPP, OVP, SCP, UVP, OCP",,,,,,,,,,,750.0,mid
psu_166,PSU,Nguồn máy tính Golden Field GPG650 - 650W - 80 Plus Gold - Full Modular,2350000,https://phongvu.vn/nguon-may-tinh-golden-field-80-plus-gold-gpg650-650w-80plus-gold-full-modular--s210400994,Golden Field,60 tháng,GPG650,,,Đen,650W,80 Plus Gold,Full Modular,ATX,"8 x SATA, 2 x Peripheral (4-pin), 2 x 8-pin (6+2) PCIE, 1 x 24-pin Main, 1 x 8-pin (4+4) CPU",1 x 120 mm,100 - 240VAC,2 kg,16 x 15 x 8.5 cm,Active,"OPP, OVP, SCP, UVP, OCP",,,,,,,,,,,650.0,mid
psu_167,PSU,Nguồn máy tính Golden Field GPB750 - 750W - 80 Plus Bronze - Semi Modular,1890000,https://phongvu.vn/nguon-may-tinh-golden-field-80-plus-bronze-gpb750-750w-80plus-bronze-semi-modular--s210400993,Golden Field,36 tháng,GPB750,,,Đen,750W,80 Plus Bronze,Semi Modular,ATX,"8 x SATA, 2 x Peripheral (4-pin), 2 x 8-pin (6+2) PCIE, 1 x 24-pin Main, 2 x 8-pin (4+4) CPU",1 x 120 mm,100 - 240VAC,1.76 kg,16 x 15 x 8.5,,"OPP, OVP, SCP, OTP, UVP, OCP",,,,,,,,,,,750.0,mid
psu_168,PSU,Nguồn máy tính Golden Field GPB650 - 650W - 80 Plus Bronze - Semi Modular,1790000,https://phongvu.vn/nguon-may-tinh-golden-field-80-plus-bronze-gpb650-650w-80plus-bronze-semi-modular--s210400992,Golden Field,36 tháng,GPB650,,,Đen,650W,80 Plus Bronze,Semi Modular,ATX,"8 x SATA, 2 x Peripheral (4-pin), 2 x 8-pin (6+2) PCIE, 1 x 24-pin Main, 2 x 8-pin (4+4) CPU",1 x 120 mm,100 - 240VAC,1.76 kg,16 x 15 x 8.5 cm,Active,"OPP, OVP, SCP, OTP, UVP, OCP",,,,,,,,,,,650.0,mid
psu_169,PSU,Nguồn máy tính Jetek RM850 - 850W - 80 Plus Gold,2950000,https://phongvu.vn/nguon-may-tinh-jetek-rm850--s210200016,Jetek,48 tháng,RM850,,,Đen,850W,80 Plus Gold,không hỗ trợ,ATX,"1 x 24-pin Main, 4 x 8-pin (4+4) CPU, 4 x 8-pin (6+2) PCIE, 4 x SATA, 4 x ATA, 1 x FDD (4-pin)",1 x 120 mm,100 - 240VAC,,86 x 140 x 150 mm,Active,"OPP, OVP, SCP, OTP, UVP, OCP",,,,,,,,,,,850.0,high
psu_170,PSU,Nguồn máy tính Jetek Rhino RM750 - 750W - 80 Plus Gold,2250000,https://phongvu.vn/nguon-may-tinh-jetek-rm750--s210200015,Jetek,48 tháng,Rhino RM750,,,Đen,750W,80 Plus Gold,không hỗ trợ,ATX,"6 x SATA, 1 x 24-pin Main",1 x 120 mm,230VAC,,86 x 140 x 150 mm,Active,"OPP, OVP, SCP, UVP",,0.98,,,,,,,,,750.0,mid
psu_171,PSU,Nguồn máy tính Jetek SWAT750 - 750W - 80 Plus Bronze,1750000,https://phongvu.vn/nguon-may-tinh-jetek-swat750--s210200014,Jetek,36 tháng,SWAT750,,,Đen,750W,80 Plus Bronze,không hỗ trợ,ATX,"6 x SATA, 1 x FDD (4-pin), 4 x 8-pin (6+2) PCIE, 1 x 24-pin Main, 2 x 8-pin (4+4) CPU, 4 x ATA, 2 x 8-pin CPU",1 x 120 mm,230VAC,,86 x 150 x 140mm,Active,"OPP, OVP, SCP, UVP",,0.98,,,,,,,,,750.0,mid
psu_172,PSU,Nguồn máy tính Jetek SWAT650 - 650W - 80 Plus Bronze,1450000,https://phongvu.vn/nguon-may-tinh-jetek-swat650--s210200013,Jetek,36 tháng,SWAT650,,,Đen,650W,80 Plus Bronze,không hỗ trợ,ATX,"3 x SATA, 1 x FDD (4-pin), 2 x 8-pin (6+2) PCIE, 1 x 24-pin Main, 1 x 8-pin CPU, 1 x 4-pin CPU, 1 x 8-pin (4+4) CPU, 4 x ATA",1 x 120 mm,230VAC,,86 x 150 x 140mm,Active,"OPP, OVP, SCP, UVP",,0.98,,,,,,,,,650.0,mid
psu_173,PSU,Nguồn máy tính Jetek J650 - 650W -,1100000,https://phongvu.vn/nguon-may-tinh-jetek-j650--s210200009,Jetek,36 tháng,J650,,,Đen,650W,,không hỗ trợ,ATX,"4 x SATA, 2 x 8-pin (6+2) PCIE, 1 x 24-pin Main, 2 x 8-pin (4+4) CPU, 2 x ATA",1 x 120 mm,230VAC,,15 x 14 x 8.6 cm,Passive,"UVP, OVP, SCP, OPP",,,,,,,,,,,650.0,mid
psu_174,PSU,Nguồn máy tính Jetek J600 - 600W -,1000000,https://phongvu.vn/nguon-may-tinh-jetek-j600--s210200008,Jetek,36 tháng,J600,,,Đen,600W,,không hỗ trợ,ATX,"1 x 24-pin Main, 1 x 8-pin (4+4) CPU, 4 x SATA, 2 x Peripheral (4-pin)",1 x 120 mm,230VAC,,86 x 150 x 140 mm,Passive,"OPP, OVP, SCP, UVP",,,,,,,,,,,600.0,mid
psu_175,PSU,Nguồn máy tính Jetek J400 - 400W -,595000,https://phongvu.vn/nguon-may-tinh-jetek-j400--s210200004,Jetek,36 tháng,J400,,,Đen,400W,,,,"1 x 24-pin Main, 1 x 8-pin (4+4) CPU, 4 x SATA, 2 x Peripheral (4-pin)",1 x 120 mm,230VAC,,86 x 150 x 140 mm,Active,"OPP, OVP, UVP, SCP",,,,,,,,,,,400.0,budget
