ID,category,name,price,link,brand,warranty,model_name,use_case,series,color,material,side_panel,Kích thước,form_factor,mb_support,drive_bays,Cổng kết nối,max_cooler_height,Kích thước radiator tối đa,front_fan,top_fan,rear_fan,Loại quạt hỗ trợ bên hông,Loại quạt hỗ trợ bên dưới,Số slot PCI,part_number,Số lượng quạt tặng kèm,led,tier,warranty_period,sku,status,features,availability,warranty_desc,highlights
case_172,Case,Thùng máy/ Case Golden Field N17 Plus (3 Fans Golden Field LED Rainbow),709000,https://phongvu.vn/thung-may-case-golden-field-n17-plus-3-fans-golden-field-led-rainbow--s190800352,Golden Field,12 tháng,N17 Plus,"Văn phòng, Doanh nghiệp, Học sinh - Sinh viên",,Đen,"Thép, Nhựa",Kính cường lực,348 x 192 x 438 mm,Mid Tower,"Micro-ATX, ATX, ITX","2 x 3.5"" , 2 x 2.5""","2 x USB 2.0 , 1 x USB 3.0",158 mm,240 mm,3 x 120 mm,2 x 120 mm,1 x 120 mm,,2 x 120 mm,7,,3 x 120mm LED,,,,,,,,,
case_173,Case,Case máy tính Golden Field Z2 (E-sport 21+),1290000,https://phongvu.vn/thung-may-case-golden-field-z2-e-sport-21--s1800549,Golden Field,1 tháng,Z2,"Đồ họa - Kỹ thuật, Doanh nghiệp",,Đen,Thép,Kính cường lực,478 x 213 x 507 mm,Mid Tower,"Mini-ITX, Micro-ATX, ATX","2 x 3.5"" , 3 x 2.5""","2 x USB 2.0 , 1 x USB 3.0",,,,,,,,,,,,,,,,,,,
case_174,Case,Case máy tính Golden Field N55B Gaming 21+,699000,https://phongvu.vn/thung-may-case-golden-field-n55b-gaming-21-3-fans-led-rainbow--s1807625,Golden Field,0 tháng,N55B Gaming 21+,"Văn phòng, Doanh nghiệp, Học sinh - Sinh viên",,Đen,Thép,Mica,384 x 192 x 430mm,Mid Tower,Micro-ATX,"2 x 3.5"" , 2 x 2.5"" , 1 x 5.25""","2 x USB 2.0 , 1 x USB 3.0",,,,,,,,,,3 x 120mm LED,,,,,,,,,
case_175,Case,Case máy tính Gigabyte AORUS C300 GLASS,2190000,https://phongvu.vn/thung-may-case-gigabyte-aorus-ac300g-glass--s19030035,Gigabyte,12 tháng,AORUS C300 GLASS,"Gaming, Văn phòng, Đồ họa - Kỹ thuật, Doanh nghiệp, Học sinh - Sinh viên",AORUS,Đen,Thép,Kính cường lực,469 x 211x 458 mm,Mid Tower,"Mini-ITX, Micro-ATX, ATX","2 x 3.5"" , 3 x 2.5""","2 x USB 3.0 , 1 x USB 3.1 Gen 2 Type C",170 mm,360 mm,"3 x 120 mm, 2 x 140 mm","2 x 120 mm, 2 x 140 mm",1 x 120 mm,,,7,GB-AC300G,2 x 120 mm,RGB,,,,,,,,
case_176,Case,Case máy tính Cooler Master Masterbox MB520 Red Trim,1699000,https://phongvu.vn/thung-may-case-cm-masterbox-mb520-red-trim--s19070009,Cooler Master,0 tháng,CM Masterbox MB520 Red Trim,"Gaming, Văn phòng, Đồ họa - Kỹ thuật, Doanh nghiệp, Học sinh - Sinh viên",MasterBox,Đen,"Thép, Nhựa",Kính cường lực,496 x 217 x 468 mm,Mid Tower,"Mini-ITX, Micro-ATX, ATX","2 x 3.5"" , 4 x 2.5""",2 x USB 3.0,165mm,360 mm,"3 x 120 mm, 2 x 140 mm","2 x 120 mm, 2 x 140 mm",1 x 120 mm,,,7,,1 x 120 mm,,,,,,,,USB/ AUDIO/ NÚT POWER/ RESET/ FAN (Nếu có)/ DÂY RISER : Bảo hành 12 tháng,
case_177,Case,Case máy tính Cooler Master NR600,1790000,https://phongvu.vn/thung-may-case-cm-masterbox-nr600--s19070012,Cooler Master,0 tháng,CM MasterBox NR600,"Gaming, Văn phòng, Đồ họa - Kỹ thuật, Doanh nghiệp, Học sinh - Sinh viên",MasterBox,Đen,"Thép, Nhựa",Kính cường lực,47.8 x 20.9 x 47.3 cm,Mid Tower,"Mini-ITX, Micro-ATX, ATX","4 x 3.5"" , 5 x 2.5""",2 x USB 3.0,166m,360 mm,"3 x 120 mm, 2 x 140 mm","2 x 120 mm, 2 x 140 mm",1 x 120 mm,,,7,,2 x 120 mm,,,,,,,,USB/ AUDIO/ NÚT POWER/ RESET/ FAN (Nếu có)/ DÂY RISER : Bảo hành 12 tháng,
case_178,Case,Case máy tính Cooler Master MasterCase H500,2790000,https://phongvu.vn/thung-may-case-cm-mastercase-h500--s19070013,Cooler Master,0 tháng,MasterCase H500,"Gaming, Văn phòng, Đồ họa - Kỹ thuật, Doanh nghiệp, Học sinh - Sinh viên",MasterCase,Đen,Thép,Kính cường lực,450 x 220 x 445 mm,Mid Tower,"Mini-ITX, Micro-ATX, ATX","2 x 3.5"" , 2 x 2.5""","2 x USB 2.0 , 2 x USB 3.0",167mm,360 mm,"3 x 120 mm, 2 x 140 mm, 2 x 200 mm","2 x 120 mm, 2 x 140 mm, 1 x 200 mm",1 x 120 mm,,,7,,"1 x 120 mm, 2 x 200 mm LED",RGB,,,,,,,USB/ AUDIO/ NÚT POWER/ RESET/ FAN (Nếu có)/ DÂY RISER : Bảo hành 12 tháng,
case_179,Case,Case máy tính Golden Field H2B - Full Tower (Đen),490000,https://phongvu.vn/thung-may-case-golden-field-h2b--s19070608,Golden Field,1 tháng,H2B,"Văn phòng, Doanh nghiệp, Học sinh - Sinh viên",,Đen,Thép,Kính cường lực,372 x 182 x 420 mm,Full Tower,"Mini-ITX, Micro-ATX, ATX","1 x 3.5"" , 4 x 2.5""","2 x USB 2.0 , 1 x USB 3.0",158 mm,240 mm,3 x 120 mm,,1 x 120 mm,,,6,,,RGB,,,,,,,,
case_180,Case,Case máy tính Golden Field H3B - Mid Tower (Đen),445000,https://phongvu.vn/thung-may-case-golden-field-h3b--s19070609,Golden Field,1 tháng,H3B,"Văn phòng, Doanh nghiệp, Học sinh - Sinh viên",,Đen,"Thép, Kính",Mica,373 x 182 x 420 mm,Mid Tower,"Mini-ITX, Micro-ATX, ATX","1 x 3.5"" , 4 x 2.5""","2 x USB 2.0 , 1 x USB 3.0",158 mm,240 mm,3 x 120 mm,,1 x 120 mm,,,6,,,,,,,,,,,
case_181,Case,Case máy tính Golden Field X10 - Mid Tower (Đen),379000,https://phongvu.vn/thung-may-case-golden-field-x10--s19070611,Golden Field,1 tháng,X10,"Văn phòng, Doanh nghiệp, Học sinh - Sinh viên",,Bạc,Thép,Kính cường lực,29.5 x 17.5 x 35.5 cm,Mid Tower,"Mini-ITX, Micro-ATX","2 x 3.5"" , 2 x 2.5""",2 x USB 2.0,145mm,,1 x 120 mm,,1 x 90 mm,,,4,,,,,,,,,,,
