ID,category,name,price,link,brand,warranty,model_name,use_case,series,color,material,side_panel,Kích thước,form_factor,mb_support,drive_bays,Cổng kết nối,max_cooler_height,Kích thước radiator tối đa,front_fan,top_fan,rear_fan,Loại quạt hỗ trợ bên hông,Loại quạt hỗ trợ bên dưới,Số slot PCI,part_number,Số lượng quạt tặng kèm,led,tier,warranty_period,sku,status,features,availability,warranty_desc,highlights
case_001,Case,Vỏ máy tính/ CASE Cooler Master COSMOS Alpha Gold,19990000,https://phongvu.vn/vo-may-tinh-case-cooler-master-cosmos-alpha-gold--s260304422,Cooler Master,24 tháng,COSMOS Alpha Gold,Gaming,Cosmos,Gold,Thép,Kính cường lực,669 x 330 x 639 mm,Full Tower,"Mini-ITX, Micro-ATX, ATX, Extended-ATX, SSI EEB","2 x 3.5"" , 2 x 2.5""","4 x USB 3.2 , 2 x USB Type C",186 mm,420 mm,"3 x 120 mm, 3 x 140 mm, 2 x 200 mm","3 x 120 mm, 2 x 140 mm, 2 x 200 mm, 2 x 180 mm",3 x 120 mm,"3 x 120 mm, 3 x 140 mm, 2 x 180 mm, 2 x 200 mm","3 x 120 mm, 2 x 140 mm, 2 x 180 mm, 2 x 200 mm",8,,,,,,,,,,,
case_002,Case,Vỏ máy tính/ Case Xigmatek Cloud M DGT - Đen (EN49859),790000,https://phongvu.vn/thung-may-case-xigmatek-cloud-m-dgt-den-en49859--s260302631,Xigmatek,12 tháng,Cloud M DGT,"Gaming, Văn phòng, Học sinh - Sinh viên",,Đen,Thép,,420 x 285 x 382mm,Micro Tower,"Micro-ATX, Mini-ITX","1 x 3.5"" , 2 x 2.5""","1 x USB 2.0 , 1 x USB 3.0",175mm,360 mm,,3 x 120mm/2 x 140mm,1 x 120 mm,2 x 120mm/2 x 140mm,3 x 120mm/2 x 140mm,4,EN49859,,,,,,,,,,
case_003,Case,Thùng máy/ Case Jonsbo D400 (ATX),1590000,https://phongvu.vn/thung-may-case-jonsbo-d400-white-atx--s260302526,Jonsbo,12 tháng,D400,"Văn phòng, Gaming, Học sinh - Sinh viên",,Trắng,"Thép, Nhựa",Kính cường lực,488 x 239 x 514mm,Mid Tower,"ATX, Micro-ATX, Mini-ITX","1 x 3.5"" , 1 x 2.5""","2 x USB 3.0 , 1 x USB Type C",169mm,360 mm,,3 x 120mm/2 x 140mm,1 x 120 mm,3 x 120 mm,,,,,,,,,,,,,
case_004,Case,Thùng máy/ Case Jonsbo D300 (M-ATX),1690000,https://phongvu.vn/thung-may-case-jonsbo-d300-white-m-atx--s260302519,Jonsbo,12 tháng,D300,"Văn phòng, Gaming, Học sinh - Sinh viên",,Trắng,Thép,Kính cường lực,23.64 x 42.09 x 46.02 cm,Mid Tower,"ITX, Micro-ATX","1 x 3.5"" , 2 x 2.5""","2 x USB 3.0 , 1 x USB Type C",180mm,Trên 360mm / Sau 140mm,2 x 120mm/1 x 140mm,3 x 120mm/2 x 140mm,1 x 120/140mm,3 x 120 mm,1 x 120 mm,,,,,,,,,,,,
case_005,Case,Thùng máy/ Case Jonsbo D32 STD (M-ATX),990000,https://phongvu.vn/thung-may-case-jonsbo-d32-std-white-m-atx--s260302506,Jonsbo,12 tháng,D32 STD,"Văn phòng, Gaming, Học sinh - Sinh viên",,Trắng,Thép,,395 x 207 x 314 mm,Mini Tower,"Mini-ITX, Micro-ATX","1 x 3.5"" , 3 x 2.5""","1 x USB 3.2 , 1 x USB Type C",Up to 164mm (Intel CPU) or 163mm (AMD CPU),240 mm,,2 x 120mm/2 x 140mm,1 x 120 mm,,3 x 120mm/2 x 140mm,,,,,,,,,,,,
case_006,Case,Thùng máy/ Case Jonsbo C6 Max (M-ATX),990000,https://phongvu.vn/thung-may-case-jonsbo-c6-max-white-m-atx--s260302494,Jonsbo,12 tháng,C6 Max,"Văn phòng, Gaming, Học sinh - Sinh viên",,Trắng,Thép,,202 x 349 x 295 mm,Micro Tower,"ITX, Micro-ATX","1 x 3.5"" , 1 x 2.5""","1 x USB 3.0 , 1 x USB Type C",170mm,,,2 x 120mm/1 x 140mm,1 x 120 mm,,2 x 120 mm,,,,,,,,,,,,
case_007,Case,Vỏ máy tính/ Case Jonsbo BO400 (ATX),5690000,https://phongvu.vn/thung-may-case-jonsbo-bo400-atx--s260302481,Jonsbo,12 tháng,BO400,"Gaming, Văn phòng, Học sinh - Sinh viên",,Đen,"Thép, Nhôm",,474 × 311 × 489 mm,Mid Tower,"Mini-ITX, Micro-ATX, ATX","4 x 3.5"" , 2 x 2.5""","2 x USB 3.2 , 1 x USB Type C",173mm,,,3 x 120mm/2 x 140mm,1 x 120 mm,3 x 120 mm,3 x 120mm/2 x 140mm,,,,,,,,,,,,
case_008,Case,Thùng máy/ Case Jonsbo TK-3 (ATX),1890000,https://phongvu.vn/thung-may-case-jonsbo-tk-3-white-atx--s260302472,Jonsbo,12 tháng,TK-3,"Văn phòng, Gaming, Học sinh - Sinh viên",,Trắng,Thép,Kính cường lực,288 x 438 x 415mm,Mid Tower,"ITX, Micro-ATX, ATX","2 x 3.5"" , 1 x 2.5""","2 x USB 3.0 , 1 x USB Type C",165mm,360 mm,,3 x 120mm/2 x 140mm,,1 x 120 mm,3 x 120 mm,7,,,,,,,,,,,
case_009,Case,Vỏ máy tính/ CASE MAGIC ES GASMING Aircraft 007 BLACK Ultra-Cool Display ARGB 3 FAN,4490000,https://phongvu.vn/thung-may-case-magic-es-gasming-aircraft-007-black-ultra-cool-display-argb-3-fan--s260200455,Magic,12 tháng,ES GASMING Aircraft 007 BLACK Ultra-Cool Display ARGB 3 FAN,Gaming,,Đen,Thép,Kính cường lực,439 x 300 x 388 mm,Mid Tower,"Micro-ATX, ITX","2 x 3.5"" , 2 x 2.5""","2 x USB 2.0 , 2 x USB 3.0",168mm,360 mm,,3 x 120 mm,1 x 120 mm,3 x 120 mm,3 x 120 mm,,,,,,,,,,,,
case_010,Case,Thùng máy/ CASE Xigmatek MYX Air 3F (3 Fan) (EN49125),749000,https://phongvu.vn/thung-may-case-xigmatek-myx-air-3f-3-fan-en49125--s251211482,Xigmatek,12 tháng,MYX Air 3F,Gaming,,Đen,,Kính cường lực,330 x 195 x 423 mm,Mid Tower,"Micro-ATX, ITX","1 x 3.5"" , 1 x 2.5""","2 x USB 2.0 , 1 x USB 3.0",158mm,Trước 240mm / Sau 120mm,3 x 120 mm,2 x 120 mm,1 x 120 mm,,,4,EN49125,,,,,,,,,,
case_011,Case,Thùng máy/ CASE Xigmatek MYX 3F (3 Fan) (EN49118),749000,https://phongvu.vn/thung-may-case-xigmatek-myx-3f-3-fan-en49118--s251211475,Xigmatek,12 tháng,MYX 3F,Gaming,,Đen,,Kính cường lực,330 x 195 x 423 mm,Mid Tower,"Micro-ATX, ITX","1 x 3.5"" , 1 x 2.5""","2 x USB 2.0 , 1 x USB 3.0",158mm,Trước 240mm / Sau 120mm,3 x 120 mm,2 x 120 mm,1 x 120 mm,,,4,EN49118,,,,,,,,,,
case_012,Case,Thùng máy/ Case Jonsbo D32 Pro (M-ATX),1329000,https://phongvu.vn/thung-may-case-jonsbo-d32-pro-black-m-atx--s251110934,Jonsbo,12 tháng,D32 Pro,"Gaming, Văn phòng",,Đen,Thép,,38.4 x 20.7 x 30.2cm,Mini Tower,"Mini-ITX, Micro-ATX","2 x 3.5"" , 4 x 2.5""","2 x USB 3.2 , 1 x USB Type C","164mm (CPU Intel), 163mm (CPU AMD)",240 mm,,2 x 120/140mm,1 x 120 mm,,3 x 120mm/2 x 140mm,,,,,,,,,,,,
case_013,Case,Thùng máy/ CASE MSI MAG PANO 130R PZ (4 fan),1990000,https://phongvu.vn/thung-may-case-msi-mag-pano-130r-pz-trang-4-fan--s251102047,Msi,12 tháng,MAG PANO 130R PZ,Gaming,MAG,Trắng,,,460 x 232 x 490 mm,Mid Tower,"ATX, Micro-ATX, Mini-ITX","2 x 3.5"" , 3 x 2.5""","2 x USB 3.0 , 1 x USB Type C",,Trước 360mm / Sau 120mm / Trên 360mm,,"3 x 120 mm, 2 x 140 mm",1 x 120 mm,3 x 120 mm,3 x 120 mm,7,306-7G32W21-HH9,4 x 120 mm,,,,,,,,,
case_014,Case,Thùng máy/ Case Jonsbo Z20 Black,1649000,https://phongvu.vn/thung-may-case-jonsbo-z20-black--s250906290,Jonsbo,12 tháng,Z20,,,Đen,Thép,Kính cường lực,370 x 186 x 295mm,Mini Tower,"Mini-ITX, Micro-ATX","1 x 3.5"" , 3 x 2.5""","1 x USB 3.2 , 1 x USB Type C",180mm,240 mm,,"2 x 120 mm, 2 x 140 mm","1 x 120 mm, 1 x 92 mm",,"2 x 120 mm, 2 x 140 mm",4,,,,,,,,,,,
case_015,Case,Thùng máy/ Case Art Ultra HM1 White ATX,2390000,https://phongvu.vn/thung-may-case-art-ultra-hm1-white-atx--s250906264,Khác,12 tháng,Art Ultra HM1,Gaming,,Trắng,,Kính cường lực,430 x 240 x 450 mm,Mid Tower,"ATX, Micro-ATX, ITX",,"2 x USB 3.0 , 1 x USB Type C",175mm,360 mm,,3 x 120 mm,1 x 120/140mm,,3 x 120 mm,7,,,,,,,,,,,
case_016,Case,Thùng máy/ Case Jonsbo TK-1 Black,2390000,https://phongvu.vn/thung-may-case-jonsbo-tk-1-black--s250906257,Jonsbo,12 tháng,TK-1,Gaming,,Đen,"Nhôm, Thép",,299 x 310 x 345 mm,Mini Tower,"ITX, Micro-ATX","2 x 3.5"" , 1 x 2.5""","1 x USB 3.0 , 1 x USB Type C",,280 mm,,2 x 120 mm,,,2 x 120 mm,4,,,,,,,,,,,
case_017,Case,Thùng máy/ CASE MAGIC CUBI-M ELITE BLACK,690000,https://phongvu.vn/thung-may-case-magic-cubi-m-elite-black-white--s250906233,Magic,12 tháng,MAGIC CUBI-M ELITE,Gaming,MAG,Đen,,Kính cường lực,325 x 270 x 315mm,Mini Tower,"Micro-ATX, ITX","1 x 3.5"" , 2 x 2.5""","2 x USB 2.0 , 1 x USB 3.0",155mm,,,2 x 120 mm,1 x 120 mm,2 x 120 mm,2 x 120 mm,,,,,,,,,,,,
case_018,Case,Thùng máy/ CASE MSI PAG PANO M110A,990000,https://phongvu.vn/thung-may-case-msi-pag-pano-m110a--s250808770,Msi,12 tháng,PAG PANO M110A,"Gaming, Văn phòng",PAG,Đen,Thép,Kính cường lực,369 x 210 x 448mm,Mid Tower,"Micro-ATX, Mini-ITX","2 x 3.5"" , 1 x 2.5""","1 x USB 2.0 , 1 x USB 3.2",160 mm,240 mm,,2 x 120/140mm,1 x 120 mm,2 x 120 mm,2 x 120 mm,5,,3 x 120 mm RGB,,,,,,,,,
case_019,Case,Thùng máy/ CASE ASUS A31 ATX BLACK 4FA,1890000,https://phongvu.vn/thung-may-case-asus-a31-atx-black-4fa--s250803195,Asus,24 tháng,A31 ATX BLACK 4FA,Văn phòng,,Đen,,Kính cường lực,238 x 511 x 435 mm,Mid Tower,"Mini-ITX, ATX, Micro-ATX","2 x 3.5"" , 2 x 2.5""","2 x USB 3.2 , 1 x USB Type C",165 mm,Trên 360mm / Sau 120mm,,"3 x 120 mm, 2 x 140 mm","1 x 120 mm, 1 x 140 mm",,,7,,4 x 120 mm,,,,,,,,,
case_020,Case,Thùng máy/ Case MIK Mini Phong Vu V35 (Nguồn 300W),1690000,https://phongvu.vn/thung-may-case-mik-mini-phong-vu-v35-nguon-300w--s250719821,MIK,36 tháng,Mini Phong Vu V35,Văn phòng,,Đen,,,27.3 x 9.5 x 33.1 cm,Mini Tower,"Micro-ATX, Mini-ITX",,"1 x USB 2.0 , 1 x USB 3.0",76mm,,,,,,,,,,,,,,,,,,
case_021,Case,Thùng máy/ CASE MIK G3 PRISM GLASS M BLACK,790000,https://phongvu.vn/thung-may-case-mik-g3-prism-glass-m-black--s250713731,MIK,24 tháng,MIK G3 PRISM GLASS M,"Gaming, Văn phòng",,Đen,Thép,Kính cường lực,339 x 275 x 334mm,Mini Tower,"Micro-ATX, ITX","1 x 3.5"" , 2 x 2.5""","1 x USB 2.0 , 1 x USB 3.0",155mm,240 mm,,,1 x 120 mm,2 x 120 mm,2 x 120 mm,4,,,,,,,,,,,
case_022,Case,Thùng máy/ CASE NZXT H9 FLOW RGB (2025) ALL,4349000,https://phongvu.vn/thung-may-case-nzxt-h9-flow-rgb-2025-all-black-cm-h92fb-r1--s250646020,Nzxt,24 tháng,H9 FLOW RGB (2025) ALL,Gaming,,Đen,Thép,Kính cường lực,506 x 315 x 481mm,Mid Tower,"Mini-ITX, Micro-ATX, ATX, Extended-ATX","2 x 3.5"" , 4+2 x2.5""","2 x USB 3.2 , 1 x USB Type C",165 mm,420 mm,"3 x 120 mm, 3 x 140 mm","3 x 120 mm, 3 x 140 mm",1 x 120 mm,,"3 x 120 mm, 3 x 140 mm",7,CM-H92FB-R1,,,,,,,,,,
case_023,Case,Thùng máy/ CASE NZXT H3 FLOW ALL M-ATX,1390000,https://phongvu.vn/thung-may-case-nzxt-h3-flow-all-black-m-atx-cc-h31fb-01--s250646013,Nzxt,24 tháng,H3 FLOW ALL,Văn phòng,,Đen,Thép,Kính cường lực,400 x 225 x 389 mm,Mid Tower,"Micro-ATX, Mini-ITX","1 x 3.5"" , 2+1 x 2.5""","1 x USB 3.2 , 1 x USB Type C",170 mm,Trước 280mm / Trên 240mm,"2 x 120 mm, 2 x 140 mm","2 x 120 mm, 2 x 140 mm",1 x 120 mm,,2 x 120 mm,4,CC-H31FB-01,,,,,,,,,,
case_024,Case,Thùng máy/ Case HYTE Y70 Standard,6290000,https://phongvu.vn/thung-may-case-hyte-y70-standard-den--s250637346,Hyte,12 tháng,Y70 Standard,Văn phòng,,Đen,,,470 x 320 x 470 mm,Mid Tower,"ITX, Micro-ATX, ATX, Extended-ATX","2 x 3.5"" , 4 x 2.5""","2 x USB 3.2 , 1 x USB Type C",180mm,Trước 360mm / Sau 140mm,3 x 120mm/2 x 140mm,,1 x 120/140mm,3 x 120mm/2 x 140mm,3 x 120mm/2 x 140mm,7+4,CS‑HYTE‑Y70‑WW,,,,,,,,,,
case_025,Case,Thùng máy/ Case Corsair 3500X Tempered Glass Mid-Tower (Đen) (CC-9011276-WW),1990000,https://phongvu.vn/thung-may-case-corsair-3500x-tempered-glass-mid-tower-den-cc-9011276-ww--s250504131,Corsair,24 tháng,3500X Tempered Glass Mid-Tower,Văn phòng,,Đen,Thép,Kính cường lực,50.6 x 24 x 46 (cm),Mid Tower,"Mini-ITX, Micro-ATX, ATX, Extended-ATX","2 x 3.5"" , 2 x 2.5""","2 x USB 3.2 , 1 x USB Type C",170mm,360 mm,,"3 x 120 mm, 2 x 140 mm",1 x 120 mm,"3 x 120 mm, 2 x 140 mm","3 x 120 mm, 1 x 140 mm",7,CC-9011276-WW,,,,,,,,,,
case_026,Case,Vỏ máy tính/ Case Cooler Master MasterFrame 600,6090000,https://phongvu.vn/vo-may-tinh-case-cooler-master-masterframe-600-silver-bac--s250405179,Cooler Master,24 tháng,MasterFrame 600,Văn phòng,MasterCase,Bạc,"Nhôm, SGCC",Kính cường lực,531 x 261 x 544mm,Mid Tower,"ITX, Micro-ATX, ATX","5 x 3.5"" , 5 x 2.5""","2 x USB 3.2 , 1 x USB Type C",190mm,420 mm,3 x 120mm/3 x 140mm/2 x 180mm/2 x 200mm,3 x 120mm/2 x 140mm/2 x 180mm/1 x 200mm,1 x 120 mm,3 x 120mm/3 x 140mm,1 x 120mm/1 x 140mm/1 x 180mm/1 x 200mm,8,MF600-KGNN-S00,"1 x 120 mm, 3 x 140 mm",,,,,,,,,
case_027,Case,Thùng máy/ CASE Xigmatek MYX Air 3F  (3 Fan) (EN45967),729000,https://phongvu.vn/thung-may-case-xigmatek-myx-air-3f-3-fan-en45967--s250204744,Xigmatek,12 tháng,MYX Air 3F,Gaming,,Đen,,Kính cường lực,330 x 195 x 423 mm,Mid Tower,"Micro-ATX, ITX","1 x 3.5"" , 1 x 2.5""","2 x USB 2.0 , 1 x USB 3.0",158mm,Trước 240mm / Sau 120mm,3 x 120 mm,2 x 120 mm,1 x 120 mm,,,4,EN45967,,,,,,,,,,
case_028,Case,Thùng máy/ CASE MIK FOCALORS M BLACK (Đen),1049000,https://phongvu.vn/thung-may-case-mik-focalors-m-black-den--s250204742,MIK,25 tháng,FOCALORS M,Gaming,,Đen,,,453 x 280 x 377 mm,Mid Tower,"Micro-ATX, ITX","2 x 3.5"" , 3 x 2.5""","1 x USB 2.0 , 1 x USB 3.0",157 mm,Trên 240mm / Trước 280mm / Sau 360mm,,3 x 120 mm,1 x 120 mm,2 x 120 mm,3 x 120 mm,4,,,,,,,,,,,
case_029,Case,Thùng máy/ Case MIK BARBATOS - Màu Đen,1290000,https://phongvu.vn/thung-may-case-mik-barbatos-mau-den--s241201699,MIK,25 tháng,BARBATOS,Gaming,,Đen,"Thép, Kính",Kính cường lực,41.8 x 2.7 x 44 cm,Mid Tower,"ATX, Micro-ATX, ITX","2 x 3.5"" , 3 x 2.5""","2 x USB 2.0 , 1 x USB 3.0",157mm,,,,1 x 120 mm,3 x 120 mm,3 x 120 mm,7,,,,,,,,,,,
case_030,Case,Thùng máy/ Case NZXT H7 Flow V2,2990000,https://phongvu.vn/thung-may-case-nzxt-h7-flow-black-v2--s241105129,Nzxt,24 tháng,H7 Flow V2,"Văn phòng, Gaming",,Đen,Thép,Kính cường lực,544 x 244 x 468 mm,Mid Tower,"Mini-ITX, Micro-ATX, ATX, Extended-ATX","2 x 3.5"" , 2+2 x2.5""","2 x USB 3.2 , 1 x USB Type C",185 mm,Trước 420mm / Sau 140mm / Trên 360mm,"3 x 120 mm, 3 x 140 mm","3 x 120 mm, 2 x 140 mm","1 x 120 mm, 1 x 140 mm",,3 x 120 mm,7,,,,,,,,,,,
case_031,Case,Thùng máy/ Case NZXT H5 Flow RGB V2,2690000,https://phongvu.vn/thung-may-case-nzxt-h5-flow-black-rgb-v2--s241105091,Nzxt,24 tháng,H5 Flow RGB V2,"Văn phòng, Gaming",,Đen,Thép,Kính cường lực,465 x 225 x 430 mm,Mid Tower,"Mini-ITX, Micro-ATX, ATX, Extended-ATX","1 x 3.5"" , 2 x 2.5""","1 x USB 3.2 , 1 x USB Type C",Up to 170 mm,Trước 360mm / Trên 240mm,"3 x 120 mm, 2 x 140 mm","2 x 120 mm, 2 x 140 mm",1 x 120 mm,,2 x 120 mm,7,,,RGB,,,,,,,,
case_032,Case,"Thùng máy/ Case Corsair 6500X Tempered Glass Mid-Tower, CC-9011258-WW",4390000,https://phongvu.vn/thung-may-case-corsair-6500x-tempered-glass-mid-tower-black-cc-9011257-ww--p575365?sku=240902206,Corsair,24 tháng,6500X,Gaming,,Trắng,,Kính cường lực,496 x 481 x 328 mm,Mid Tower,"Mini-ITX, Micro-ATX, ATX, Extended-ATX","2 x 3.5"" , 2 x 2.5""","4 x USB 3.2 , 1 x USB Type C",190mm,360 mm,3 x 120 mm,"3 x 120 mm, 3 x 140 mm","1 x 120 mm, 1 x 140 mm",3 x 120 mm,"3 x 120 mm, 3 x 140 mm",8,CC-9011258-WW,,,,,,,,,,
case_033,Case,Thùng máy/ Case MIK MORAX 3FA BLACK,690000,https://phongvu.vn/thung-may-case-mik-morax-3fa-black--s240705235,MIK,25 tháng,MORAX 3FA BLACK,Gaming,,Đen,"Thép, Nhựa",Kính cường lực,365 x 216 x 405 mm,Mini Tower,"ITX, Micro-ATX","2 x 3.5"" , 2 x 2.5""","2 x USB 2.0 , 1 x USB 3.0",175 mm,280 mm,2 x 140 mm,2 x 120/140mm,1 x 120 mm,,,4,,"1 x 120 mm, 2 x 140 mm",,,,,,,,,
case_034,Case,Thùng máy/ Case MIK Phong Vu Office,590000,https://phongvu.vn/thung-may-case-mik-phong-vu-office--s240700221,MIK,12 tháng,Phong Vu Office,Văn phòng,,Đen,,,29 x 18 x 35.5 cm,Mid Tower,"Micro-ATX, ITX","1 x 3.5"" , 1 x 2.5""","2 x USB 2.0 , 1 x USB 3.0",160mm,250mm,2 x 120 mm,,1 x 120 mm,,1 x 120 mm,4,,1 x 120 mm,,,,,,,,,
case_035,Case,Case Xigmatek Alphard M 3GF(3 FAN RGB) - EN44090,690000,https://phongvu.vn/case-xigmatek-alphard-m-3gf-3-fan-rgb-en44090--s240603475,Xigmatek,12 tháng,Alphard M 3GF,Gaming,,Đen,Thép,Kính cường lực,364 x 212 x 438 mm,Mini Tower,"Micro-ATX, ITX","1 x 3.5"" , 1 x 2.5""","2 x USB 2.0 , 1 x USB 3.0",165 mm,280 mm,,"2 x 120 mm, 2 x 140 mm",1 x 120 mm,2 x 120 mm,2 x 120 mm,7,EN44090,"1 x 120 mm, 2 x 120 mm",,,,,,,,,
case_036,Case,Vỏ máy tính/ Case Golden Field PV886b,249000,https://phongvu.vn/vo-may-tinh-case-golden-field-pv886b--s240101194,Golden Field,12 tháng,PV886b,"Gaming, Văn phòng, Đồ họa - Kỹ thuật, Doanh nghiệp, Học sinh - Sinh viên",,Đen,,,29.5 x 16.5 x 35 cm,Mid Tower,"ITX, Micro-ATX","2 x 3.5"" , 3 x 2.5""",2 x USB 2.0,140mm,,1 x 120 mm,,1 x 80 mm,1 x 120 mm,,4,,,,,,,,,,,
case_037,Case,Case MSI MAG FORGE 320R AIRFLOW (306-7G23R21-809),1190000,https://phongvu.vn/vo-may-tinh-case-msi-mag-forge-320r-airflow-306-7g23r21-809--s231103053,Msi,12 tháng,MAG FORGE 320R AIRFLOW,Gaming,MAG,Đen,Thép,Kính cường lực,472.5 x 210 x 498 mm,Mid Tower,"Mini-ITX, Micro-ATX, ATX","2 x 3.5"" , 1 x 2.5""",2 x USB 3.2,160 mm,Trên 360mm / Trước 240mm / Sau 120mm,"3 x 120 mm, 2 x 140 mm","3 x 120 mm, 2 x 140 mm",1 x 120 mm,2 x 120 mm,,7,306-7G23R21-809,"1 x 120 mm aRGB, 3 x 120mm aRGB",,,,,,,,,
case_038,Case,Case MIK AETHER GAMING (BLACK),649000,https://phongvu.vn/thung-may-case-mik-aether-gaming-black--s231000901,MIK,12 tháng,AETHER GAMING,"Gaming, Văn phòng, Học sinh - Sinh viên, Thiết kế nhỏ gọn, Doanh nhân",,Đen,"Thép, Nhựa",Kính cường lực,31.8 x 21 x 39.8 cm,,"ITX, Micro-ATX","2 x 3.5"" , 2 x 2.5""","2 x USB 2.0 , 1 x USB 3.0",175mm,240 mm,2 x 140 mm,2 x 120/140mm,1 x 120 mm,,,4,,,Không đèn,,,,,,,,
case_039,Case,Thùng máy tính/ Case MIK LV12 MINI ELITE,1190000,https://phongvu.vn/thung-may-tinh-case-mik-lv12-mini-elite-white--s230302781,MIK,24 tháng,LV12 MINI ELITE,Văn phòng,,Trắng,Thép,Kính cường lực,338 x 255 x 335 mm,Mid Tower,"Micro-ATX, ITX","1 x 3.5"" , 2 x 2.5""",2 x USB 3.0,140 mm,280 mm,,2 x 120 mm,,2 x 120 mm,2 x 120 mm,4,,,RGB,,,,,,,,
case_040,Case,Thùng máy/ Case MSI MAG FORCE M100A (4 Fan RGB),829000,https://phongvu.vn/case-msi-mag-force-m100a--s220909035,Msi,12 tháng,MAG FORCE M100A,"Gaming, Văn phòng, Đồ họa - Kỹ thuật, Doanh nghiệp, Học sinh - Sinh viên",MAG,Đen,Thép,Mica,38.8 x 20.0 x 42.3 cm,Mid Tower,"Mini-ITX, Micro-ATX","2 x 3.5"" , 2 x 2.5""","2 x USB 2.0 , 1 x USB 3.2",160 mm,Trước 240mm / Sau 120mm,3 x 120 mm,2 x 120 mm,1 x 120 mm,,,4,,"1 x 120 mm RGB, 3 x 120 mm RGB",,,,,,,,,
case_041,Case,Thùng máy/ Case Xigmatek XA-22 (ATX) EN47567,399000,https://phongvu.vn/thung-may-case-xigmatek-xa-22-atx-en47567--s220101744,Xigmatek,12 tháng,XA-22,"Văn phòng, Doanh nghiệp, Học sinh - Sinh viên",,Đen,Thép,Thép,37 x 18.8 x 41.3 cm,Mid Tower,"Mini-ITX, Micro-ATX, ATX","1 x 3.5"" , 2 x 2.5""",2 x USB 1.1,155 mm,,2 x 120 mm,,1 x 80 mm,1 x 120 mm,,7,EN47567,,,,,,,,,,
case_042,Case,Thùng máy/ Case máy tính Deepcool Matrexx 40 3FS,809000,https://phongvu.vn/thung-may-case-may-tinh-deepcool-matrexx-40-3fs--s210801121,DeepCool,12 tháng,Matrexx 40 3FS,"Gaming, Văn phòng, Đồ họa - Kỹ thuật, Doanh nghiệp, Học sinh - Sinh viên",Matrexx,Đen,"Thép, Nhựa",Kính cường lực,40 x 21.5 x 43.1 cm,Mid Tower,"Mini-ITX, Micro-ATX","2 x 3.5"" , 2 x 2.5""","1 x USB 2.0 , 1 x USB 3.0",165mm,,2 x 120 mm,,1 x 120 mm,,,4,DP-MATX-MATREXX40-3FS,3 x 120 mm,,,,,,,,,
case_043,Case,Thùng máy/ Case Phong Vũ PV-880B (Black),349000,https://phongvu.vn/thung-may-case-phong-vu-pv-880b-black--s210600038,Phong Vũ,12 tháng,PV-880B,"Văn phòng, Doanh nghiệp, Học sinh - Sinh viên",,Đen,Thép,Thép,392*178*410mm,Mid Tower,"Micro-ATX, ATX","2 x 3.5"" , 2 x 2.5"" , 3 x 5.25""",,,,,,1 x 90 mm,1 x 120 mm,,6,,,,,,,,,,,
case_044,Case,Thùng máy/ Case Xigmatek XA-20 (ATX) EN46072,449000,https://phongvu.vn/thung-may-case-xigmatek-xa-20-atx-en46072--s201100369,Xigmatek,12 tháng,XA-20,"Văn phòng, Doanh nghiệp, Học sinh - Sinh viên",,Đen,Thép,Thép,37 x 18.8 x 41.3 cm,Mid Tower,"Mini-ITX, Micro-ATX, ATX","1 x 3.5"" , 2 x 2.5""",1 x USB 2.0,155mm,,2 x 120 mm,,1 x 80 mm,1 x 120 mm,,7,,,,,,,,,,,
case_045,Case,Thùng máy/ Case Corsair 465X White (CC-9011189-WW) - Demo,790000,https://phongvu.vn/thung-may-case-corsair-465x-white-cc-9011189-ww-hang-thanh-ly--s250520252--s250520252?selectPromotionId=2443451,Corsair,0 tháng,,,,,,,,,,,,,,,,,,,,,,,Hàng thanh lý - trưng bày live,Bảo hành 1 tháng tại Phong Vũ,190904125.0,"- Sản phẩm đã qua sử dụng - - Bị trầy xước, ố vàng, rách lưới - - Không hộp và không có phụ kiện","- Kiểu case: Mid Tower - - Hỗ trợ mainboard: Mini-ITX, Micro-ATX, ATX - - Khay mở rộng tối đa: 2 x 3.5"", 4 x 2.5"" - - USB:  2 x USB 3.0","Cửa hàng 02 Hoàng Hoa Thám, Phường 12, Quận Tân Bình, Thành phố Hồ Chí Minh",,
case_046,Case,Thùng máy/ Case Cooler Master Masterbox 5 MSI - Demo,390000,https://phongvu.vn/thung-may-case-cooler-master-masterbox-5-msi-hang-trung-bay--s250204161?selectPromotionId=2443448,Cooler Master,0 tháng,,,,,,,,,,,,,,,,,,,,,,,Hàng thanh lý - trưng bày live,Hết hạn bảo hành,1705088.0,"- Sản phẩm đã qua sử dụng - - Bị trầy xước, cũ móp, các dây kết nối không nhận","- Hỗ trợ mainboard: Mini-ITX, Micro-ATX, ATX - - Khay mở rộng tối đa: 2 x 3.5"", 1 x 2.5"" - - USB: 2 x USB 3.0","Cửa hàng 31 Xuân Thủy, Phường Dịch Vọng Hậu. TP Hà Nội .",,
