ID,category,name,price,link,brand,warranty,chipset_brand,series,Tên,Part-number,chipset,vram,Series,GPU clock,pci_interface,Số lượng đơn vị xử lý,Cổng kết nối,Tản nhiệt,Đầu cấp nguồn,tdp,VR,Kích thước,Đèn LED,Multi-GPU,Mô tả bảo hành,vram_gb,tdp_w,gpu_tier
vga_041,VGA,Card màn hình Msi RTX 5070 Ti 16G SHADOW 3X OC 16GB GDDR7 (912-V531-097),30990000,https://phongvu.vn/vga-msi-rtx-5070-ti-16g-shadow-3x-oc--s250411793,Msi,36 tháng,NVIDIA,GeForce RTX 50 series,RTX 5070 Ti 16G SHADOW 3X OC,912-V531-097,GeForce RTX 5070Ti,16GB  GDDR7 ( 28 Gbps / 256-bit ),SHADOW,Extreme Performance: 2497 MHz (MSI Center) -  Boost: 2482 MHz,PCI-E 5.0,8960  CUDA cores,"1 x HDMI 2.1b , 3 x DisplayPort 2.1b",Tản nhiệt 3 quạt,1 x 16-pin,750W,,303 x 121 x 49 mm,Không,,,16.0,750.0,high
vga_042,VGA,Card màn hình Gigabyte GeForce RTX™ 3060 WINDFORCE OC 12G (GV-N3060WF2OC-12GD),9990000,https://phongvu.vn/card-man-hinh-gigabyte-gv-3060wf2oc-12gd--s250407124,Gigabyte,36 tháng,NVIDIA,GeForce RTX 30 series,GeForce RTX™ 3060 WINDFORCE OC 12G,GV-N3060WF2OC-12GD,GeForce RTX 3060,12GB  GDDR6 ( 15000 MHz / 192-bit ),WindForce,1792 MHz (Reference Card: 1777 MHz),PCI-E 4.0 x16,3584  CUDA cores,"2 x HDMI 2.1 , 2 x DisplayPort 1.4a",Tản nhiệt 2 quạt,1 x 8-pin,550W,không hỗ trợ,198 x 121 x 39 mm,,,,12.0,550.0,mid
vga_043,VGA,Card màn hình Msi GeForce RTX 5080 16G SHADOW 3X OC 16GB GDDR7,43990000,https://phongvu.vn/card-man-hinh-vga-msi-geforce-rtx-5080-16g-shadow-3x-oc--s250309546,Msi,36 tháng,NVIDIA,GeForce RTX 50 series,GeForce RTX 5080 16G SHADOW 3X OC,,GeForce RTX 5080,16GB  GDDR7 ( 30 Gbps / 256-bit ),,Extreme Performance: 2655 MHz (MSI Center) - Boost: 2640 MHz,PCI-E 5.0,10752  CUDA cores,"1 x HDMI 2.1b , 3 x DisplayPort 2.1b",Tản nhiệt 3 quạt,1 x 16-pin,850W,,303 x 121 x 50 mm,Không,,,16.0,850.0,high
vga_044,VGA,Card màn hình Msi RTX 5070 12G VENTUS 2X OC 12GB GDDR7,21690000,https://phongvu.vn/card-man-hinh-vga-msi-rtx-5070-12g-ventus-2x-oc--s250301753,Msi,36 tháng,NVIDIA,GeForce RTX 50 series,RTX 5070 12G VENTUS 2X OC,,GeForce RTX 5070,12GB  GDDR7 ( 28 Gbps / 192-bit ),VENTUS,Extreme Performance: 2557 MHz (MSI Center) -  Boost: 2542 MHz,PCI-E 5.0,6144  CUDA cores,"1 x HDMI , 3 x DisplayPort 2.1b",Tản nhiệt 2 quạt,1 x 16-pin,650W,không hỗ trợ,236 x 126 x 50 mm,,,,12.0,650.0,mid-high
vga_045,VGA,Card màn hình Msi RTX 5070 12G SHADOW 3X OC 12GB GDDR7,22190000,https://phongvu.vn/card-man-hinh-vga-msi-rtx-5070-12g-shadow-3x-oc--s250301754,Msi,36 tháng,NVIDIA,GeForce RTX 50 series,RTX 5070 12G SHADOW 3X OC,,GeForce RTX 5070,12GB  GDDR7 ( 28 Gbps / 192-bit ),,Extreme Performance: 2557 MHz (MSI Center) - - Boost: 2542 MHz,PCI-E 5.0,6144  CUDA cores,"1 x HDMI , 3 x DisplayPort 2.1b",Tản nhiệt 3 quạt,1 x 16-pin,650W,,303 x 121 x 49 mm,,,,12.0,650.0,mid-high
vga_046,VGA,Card màn hình Msi RTX 5070 12G SHADOW 2X OC 12GB GDDR7,21590000,https://phongvu.vn/card-man-hinh-vga-msi-rtx-5070-12g-shadow-2x-oc--s250301746,Msi,36 tháng,NVIDIA,GeForce RTX 50 series,RTX 5070 12G SHADOW 2X OC,,GeForce RTX 5070,12GB  GDDR7 ( 28 Gbps / 192-bit ),,Extreme Performance: 2557 MHz (MSI Center) Boost: 2542 MHz,PCI-E 5.0,6144  CUDA cores,"1 x HDMI , 3 x DisplayPort 2.1b",Tản nhiệt 2 quạt,1 x 16-pin,650W,không hỗ trợ,231 x 126 x 50 mm,,,,12.0,650.0,mid-high
vga_047,VGA,Card màn hình Gigabyte Radeon RX 9070 GAMING OC 16G 16GB GDDR6 (GV-R9070GAMING OC-16GD),20890000,https://phongvu.vn/card-man-hinh-vga-gigabyte-gv-r9070gaming-oc-16gd--s250300455,Gigabyte,36 tháng,AMD,Radeon RX 9070,Radeon RX 9070 GAMING OC 16G,GV-R9070GAMING OC-16GD,Radeon RX 9070,16GB  GDDR6 ( 20Gbps / 256-bit ),WindForce,20 Gbps,PCI-E 5.0,3584 (56 CU )  Stream Processors,"1 x HDMI 2.1b , 3 x DisplayPort 2.1a",Tản nhiệt 3 quạt,2 x 8-pin,750W,,288 x 132 x 56 mm,,,,16.0,750.0,budget
vga_048,VGA,Card màn hình GIGABYTE GeForce RTX 5070 GAMING OC 12G 12GB GDDR7 (GV-N5070GAMING OC-12GD),25990000,https://phongvu.vn/card-man-hinh-vga-gigabyte-geforce-rtx-5070-gaming-oc-12g-gv-n5070gaming-oc-12gd--s250300446,Gigabyte,36 tháng,NVIDIA,GeForce RTX 50 series,GeForce RTX 5070 GAMING OC 12G,GV-N5070GAMING OC-12GD,GeForce RTX 5070,12GB  GDDR7 ( 28Gbps / 192-bit ),WindForce,,PCI-E 5.0,6144  CUDA cores,"1 x HDMI 2.1b , 3 x DisplayPort 2.1b",Tản nhiệt 3 quạt,1 x 16-pin,700W,,327 x 132 x 56 mm,,,,12.0,700.0,mid-high
vga_049,VGA,Card màn hình MSI GeForce RTX 3050 VENTUS 2X E 6G OC 6GB GDDR6 (912-V812-055),5290000,https://phongvu.vn/card-man-hinh-vga-msi-geforce-rtx-3050-ventus-2x-e-6g-oc--s250204743?selectPromotionId=2440074,Msi,36 tháng,NVIDIA,GeForce RTX 30 series,GeForce RTX 3050 VENTUS 2X E 6G OC,912-V812-055,GeForce RTX 3050,6GB  GDDR6 ( 14 Gbps / 96-bit ),VENTUS,Boost: 1492 MHz,PCI-E 4.0 x16,2304  CUDA cores,"2 x HDMI 2.1 , 1 x DisplayPort 1.4a",Tản nhiệt 2 quạt,,300W,,189 x 109 x 42 mm,,,,6.0,300.0,mid
vga_050,VGA,Card màn hình Asus ROG Astral GeForce RTX™ 5090 32GB GDDR7 OC Edition 32GB GDDR7 (ROG- ASTRAL- RTX5090-O32G-GAMING),119990000,https://phongvu.vn/vga-asus-rog-astral-geforce-rtx-5090-32gb-gddr7-oc-edition--s250204648,Asus,36 tháng,NVIDIA,GeForce RTX 50 series,ROG Astral GeForce RTX™ 5090 32GB GDDR7 OC Edition,ROG- ASTRAL- RTX5090-O32G-GAMING,GeForce RTX 5090,32GB  GDDR7 ( 28 Gbps / 512-bit ),ROG,OC mode: 2610 MHz Default mode: 2580 MHz(Boost clock),PCI-E 5.0,21760  CUDA cores,"2 x HDMI 2.1 , 3 x DisplayPort 2.1b",Tản nhiệt 3 quạt,1 x 16-pin,1000W,không hỗ trợ,357.6 x 149.3 x 76 mm,ARGB,,,32.0,1000.0,high
